alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"GOMEA",100000,3.7811636924743652,"1028_SWD",0,False,"(sin(x2) + (x2 + (x0/x0)))",0.20802177842319836,0.12360204607806624
"GOMEA",100000,3.813814640045166,"1028_SWD",3,False,"((x9/x2) + x2)",-0.27208720469434433,-0.36391949653113387
"GOMEA",500000,3.951444149017334,"1028_SWD",1,False,"((x2/x9) + x9)",-0.16860736808973065,-0.2863132674453428
"GOMEA",100000,4.120039224624634,"1028_SWD",4,False,"(((x5 + x1)/x5) + x5)",-0.3252073912132014,-0.2346526848843875
"GOMEA",100000,4.202211856842041,"1028_SWD",1,False,"(x4 + (x2/x4))",-0.14998998305228883,-0.4223944294699007
"GOMEA",500000,4.2147181034088135,"1028_SWD",2,False,"((((x7/x5) + (x0/x0)) + x5) - (sin(x4)/x4))",-0.29645826990976354,-0.25765172263531166
"GOMEA",500000,4.2518630027771,"1028_SWD",3,False,"((x2/x0) + x0)",-0.24212284787573313,-0.45587666731103815
"GOMEA",100000,4.355183839797974,"1028_SWD",2,False,"(x8 + ((x4/x8) + sin(x4)))",-0.08678856777572164,-0.052890595869734325
"GOMEA",500000,4.818645000457764,"1028_SWD",0,False,"(((sin(x2)/(x5 + x0)) + x2) - (x8/((x1 - x1) - x2)))",-0.14518293794325698,-0.19196001930456008
"GOMEA",500000,4.899181842803955,"1028_SWD",4,False,"((sin(x8) + x0) + (x8/x0))",-0.11071124133048604,-0.01697582493541816
"GOMEA",100000,4.159552097320557,"1028_SWD",5,False,"((x2/x3) + x3)",-0.3138911788953007,-0.41787897954880915
"GOMEA",100000,4.034206867218018,"1028_SWD",6,False,"(((x1 * (x7 + x2))/(x7 + (x9 + x9))) + x9)",-0.19580109316248873,-0.20513479894586029
"GOMEA",500000,4.326150894165039,"1028_SWD",5,False,"((x1/x3) + ((x4/(x1 + x3)) + x3))",0.00012669386123653759,0.06533136552111862
"GOMEA",500000,4.064330101013184,"1028_SWD",7,False,"((x4/x2) + x2)",-0.3020798044705104,-0.33093696342372114
"GOMEA",500000,4.474509000778198,"1028_SWD",6,False,"((x2/x9) + x9)",-0.20145603714472493,-0.16281901422170253
"GOMEA",500000,4.360164165496826,"1028_SWD",8,False,"(((x9/x9) * (x8/x2)) + x2)",-0.3689775749574269,-0.5161479960991566
"GOMEA",500000,3.988058090209961,"1028_SWD",9,False,"(x9 + (x2/x9))",-0.22312751049708401,-0.1125533098460969
"GOMEA",100000,4.6677210330963135,"1028_SWD",8,False,"((x1 + (x6/x6)) + sin(x1))",-0.001966818401510917,-0.1623200390377333
"GOMEA",100000,4.847497940063477,"1028_SWD",7,False,"((sin(x8) - ((x1 - x7) - x8)) - (x7 - (x5 + x1)))",-0.2999413110566449,-0.29520649784630915
"GOMEA",100000,4.560787200927734,"1028_SWD",9,False,"((x4 + ((x2 + x9)/x4)) * sin(x5))",-0.18239984164096712,-0.18033115987761117
"GOMEA",500000,4.448899030685425,"1028_SWD",10,False,"(((x2/x1) + x1) + ((x3/x2)/x3))",0.12000085471018052,0.2075896093488444
