alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"GP-GOMEA",100000,1.7427692413330078,"1089_USCrime",0,True,"354.4026455681054 + (2.7739306134874426 * (((x3/((x10-x2)-(x0+x7)))*x12)))",0.8972561075225638,0.7442058465832372
"GP-GOMEA",100000,1.8728277683258057,"1089_USCrime",1,True,"322.2758277752473 + (0.0031719856203800702 * (((x3+((x11/x9)+sin(x12)))*(((x0-x12)-(x11-x10))+sin((x9+x4))))))",0.929827955376707,0.6664045285074608
"GP-GOMEA",100000,2.0690600872039795,"1089_USCrime",4,True,"307.3644029326854 + (-258.0680378367885 * (((sin((x7/x12))+((x12-x0)/(161.172000/x3)))/(((x6+x2)+(x11*x2))+((5320.539000/x4)+(x2*x1))))))",0.896570361516902,0.8583899449914248
"GP-GOMEA",100000,2.0986876487731934,"1089_USCrime",13,True,"302.69228714158197 + (1.1685177226787762 * (((((x6-x11)+sin(x12))-((x9-x7)-sin(x12)))/(((x6+x0)/(x1-x12))/sin((x3/x7))))))",0.9125966446992028,0.7990665015283652
"GP-GOMEA",100000,2.148524522781372,"1089_USCrime",12,True,"451.7314345571184 + (-0.3382462174331688 * (((((x2+x12)+(x3/x8))+x1)+(x4-((x9/x8)+(x0-x3))))))",0.881144945837544,0.8502509695065931
"GP-GOMEA",100000,2.162534236907959,"1089_USCrime",9,True,"400.87240542921546 + (0.31981581859932345 * (((x0-sin(x10))-(x3+((x12/x9)+(x4+x12))))))",0.9461088477656788,0.5074043943859425
"GP-GOMEA",100000,2.1800124645233154,"1089_USCrime",6,True,"490.75327734661244 + (0.23602111500119824 * (((((x9/x1)/x4)-((x12+x5)-(x2*x1)))+((x7-sin(x9))+((x10/-1545.527000)+(x8-1731.154000))))))",0.9079741422993922,0.6251658867960894
"GP-GOMEA",100000,2.2148590087890625,"1089_USCrime",3,True,"284.60002646060565 + (-0.5792228463605269 * (((((x0-x12)+(2179.892000/x5))+sin(x1))/(((x12+x1)+(x8+x6))/((x2*x1)-(x12+x2))))))",0.9121028654636415,0.7906954539080018
"GP-GOMEA",100000,2.2476415634155273,"1089_USCrime",5,True,"480.1925650121277 + (-0.326697275603603 * (((((x10/x11)+(x5+x3))+((x3-x0)+(x1+x12)))-(((-715.956000+x6)/x8)+sin((x0*x4))))))",0.8750541277641883,0.9086594145314462
"GP-GOMEA",100000,2.2619874477386475,"1089_USCrime",10,True,"377.70183131416246 + (-0.29833994403544156 * (((((x7+x5)*sin(x3))/((x2+x0)-(x12/x0)))+(((x5+x3)+x12)-(x0+(x2*x11))))))",0.9222111231117438,0.7910062481976102
"GP-GOMEA",100000,2.268958806991577,"1089_USCrime",11,True,"284.5540989515691 + (0.0022061391171159144 * ((((sin(x1)/(x10/x12))+(x0-x12))/sin(((x9+x6)/(x12*x3))))))",0.9111309129354092,0.7556927554294515
"GP-GOMEA",100000,2.3440487384796143,"1089_USCrime",8,True,"2632.2494950310033 + (0.44975479568961374 * ((-4853.670000+(((x11*x2)-(x12+x1))+x0))))",0.8902970026833722,0.6914953789669068
"GP-GOMEA",100000,2.35714054107666,"1089_USCrime",2,True,"419.3162453955439 + (-0.33996251007155154 * (((((x3+x12)+(x3-x0))-x2)+((sin(3701.260000)*x6)/((x2+x8)+sin(x11))))))",0.932855524654593,0.5039580443920119
"GP-GOMEA",100000,2.3643500804901123,"1089_USCrime",7,True,"57.92589285359065 + (-0.3283592095189176 * (((((x12-x7)+(x7/x0))+((x7/x0)-(x10*x2)))*(((x8+x6)-(x7/x12))/((x6/-1672.562000)+(x6+x3))))))",0.9206715551589366,0.7460504601354292
"GP-GOMEA",100000,1.0998034477233887,"1089_USCrime",15,True,"292.8895365976662 + (-1.3373776153270956e-06 * (((((1013.563000/x9)+(x12+x12))*(x3-(x0/x11)))*((x12+(x1/x4))+(x3-sin(x0))))))",0.9046907762256184,0.6993981575110719
"GP-GOMEA",100000,1.4514257907867432,"1089_USCrime",14,True,"334.0298064423974 + (0.38262102568278533 * ((((sin(x1)*x11)+(x2/(x11/x12)))-(((x12-x11)+sin(x0))+((x7-x7)-(x11+x0))))))",0.9024746233708153,0.7745620764216994
"GP-GOMEA",100000,1.2695276737213135,"1089_USCrime",22,True,"302.3411490782088 + (-0.00029011842361538237 * (((((x3+x12)+x4)-(sin(x1)+x0))*(((x7--2000.134000)/(x9+x8))+x12))))",0.9216387804985141,0.7930644523903775
"GP-GOMEA",100000,1.2921791076660156,"1089_USCrime",25,True,"366.98965834586124 + (0.18071504320751594 * (((((x3*x2)-(x12+x2))-((x6/x9)+(x12-x0)))-((x7/(x11+x6))-sin((5113.291000*x3))))))",0.8840920992210555,0.8475073835708017
"GP-GOMEA",100000,1.6411247253417969,"1089_USCrime",16,True,"319.1675385928045 + (-2.1669095293853253 * ((((x12+x5)-x1)*(x3/(708.232000+(x0+x0))))))",0.9162874214565405,0.7183525304088332
"GP-GOMEA",100000,1.4841063022613525,"1089_USCrime",27,True,"305.95799349539215 + (-0.0001370456874440103 * (((((x5-x0)-(x7/x4))+(x12-(x10*x2)))*(((x7-x5)+x3)+((x1+x12)+(x7/x9))))))",0.9043798962986852,0.8973219395724559
"GP-GOMEA",100000,1.0595862865447998,"1089_USCrime",28,True,"401.9552448308117 + (-0.2965471323486753 * (((((x12-x0)-(x2-x5))-(sin(x4)/(1228.090000/x6)))+(((x3/x8)+(x3+x3))-x11))))",0.8838410928760112,0.8775670148949815
"GP-GOMEA",100000,1.9210269451141357,"1089_USCrime",20,True,"391.7394182325792 + (0.31540963762530355 * (((((x0*x12)/(x12-x11))-((x12+x4)+(x1/x9)))+(sin(sin(x10))-x3))))",0.8851664694733316,0.8621590035146237
"GP-GOMEA",100000,2.0638744831085205,"1089_USCrime",18,True,"334.45348681141365 + (8.173450589034946 * (((((x0-x12)*x3)/((x1--2624.402000)-(x7/x9)))-(((x6-x12)/x7)/sin((x5/x11))))))",0.9364197609375238,0.7047765252354417
"GP-GOMEA",100000,2.176473379135132,"1089_USCrime",17,True,"332.63025649676996 + (0.282537828281805 * ((((sin(3868.828000)+(x0-x5))-x12)+(((x0+4812.889000)/(x4-x2))*x2))))",0.9147201125958948,0.6193772971033301
"GP-GOMEA",100000,2.261604070663452,"1089_USCrime",19,True,"259.9589211552894 + (3.459162825477573e-07 * (((((x7/x10)-x7)-((x12-x9)*(x12-x0)))*(((x2+639.984000)+(x5+4434.605000))*(x3/x6)))))",0.9017690555249809,0.6246559129778966
"GP-GOMEA",100000,2.223515033721924,"1089_USCrime",21,True,"305.1253226660574 + (-0.0003806286202103192 * (((((x6/x11)*(x1/x10))+(sin(x4)-(x5-x12)))*(((x12/x9)-x8)+((x4+x12)+(x5-x0))))))",0.9164992243166988,0.2641556081774562
