alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"GP-RV ERCs",500000,5.059606313705444,"1028_SWD",1,False,"(4.295000+((2.758000*(x2-3.608000))/ ((x9+x8)+(x7*x4))))",0.3449063456131878,0.29626243097409477
"GP-RV ERCs",100000,5.638594150543213,"1028_SWD",1,False,"(4.295000+((2.758000*(x2-3.608000))/ ((x9+x8)+(x7*x4))))",0.3449063456131878,0.29626243097409477
"GP-RV ERCs",100000,7.0416460037231445,"1028_SWD",0,False,"(4.515000-(((x0+x1)/ (x0*x2))/ x1))",0.3248754783307628,0.2393952996474209
"GP-RV ERCs",500000,7.537272930145264,"1028_SWD",0,False,"(4.515000-(((x0+x1)/ (x0*x2))/ x1))",0.3248754783307628,0.2393952996474209
"GP-RV ERCs",500000,7.436832904815674,"1028_SWD",3,False,"(4.369000-((3.717000+sin(x8))/ (x2*(2.041000+x4))))",0.30973906972126775,0.31006199422286485
"GP-RV ERCs",100000,7.819941759109497,"1028_SWD",3,False,"(4.369000-((3.717000+sin(x8))/ (x2*(2.041000+x4))))",0.30973906972126775,0.31006199422286485
"GP-RV ERCs",100000,7.885021448135376,"1028_SWD",2,True,"3.9737412528181597 + (0.1318358666648156 * (((((x6/ 2.873000)-(2.036000/ x2))*3.041000)+(((x7/ 3.907000)*(x9*x4))-((2.523000-x8)+(3.341000/ x1))))))",0.41214856711729575,0.41014031519035044
"GP-RV ERCs",100000,8.24629282951355,"1028_SWD",4,True,"2.3995135081953385 + (-0.05113006825081061 * (((((x1-x3)*(x9/ x0))-((2.216000+x9)*(x1+x2)))+(((4.940000/ x7)-(x8*x4))-((x0+x5)+(x6*x5))))))",0.4032537567811857,0.4354355938303044
"GP-RV ERCs",100000,8.654238939285278,"1028_SWD",3,True,"2.108007401304521 + (0.05202511704792063 * ((((x7+(x9+x2))*4.138000)+(((x8+x6)-(3.516000/ x4))*((x5+x1)-(x7/ 2.132000))))))",0.40822581451553464,0.3895971083743448
"GP-RV ERCs",500000,9.15690565109253,"1028_SWD",2,False,"((sin((x9-x7))+((x7+x2)+(2.865000+3.613000)))/ 2.832000)",0.3203721229495965,0.3334085938559279
"GP-RV ERCs",100000,10.017820596694946,"1028_SWD",2,False,"((sin((x9-x7))+((x7+x2)+(2.865000+3.613000)))/ 2.832000)",0.3203721229495965,0.3334085938559279
"GP-RV ERCs",100000,10.092746496200562,"1028_SWD",4,False,"(4.281000-((4.586000/ sin(2.754000))/ ((3.626000*x2)*(x4+x8))))",0.2946082158346798,0.2737009529456197
"GP-RV ERCs",100000,10.738434076309204,"1028_SWD",1,True,"2.14666503775158 + (0.11810436699839227 * (((((x7+x9)+(x6+x9))+x2)+(((x8+x5)+(x4+x7))-((4.141000/ x2)+(3.667000/ x1))))))",0.43950916090282643,0.28479260692043606
"GP-RV ERCs",100000,11.485538959503174,"1028_SWD",0,True,"2.111455911967775 + (0.2872843136426563 * (((((x9*x8)/ 4.538000)+((x6+x4)/ 2.431000))+(((x9/ 4.573000)*x7)+x2))))",0.42114669992661147,0.3391690487226373
"GP-RV ERCs",100000,7.6651771068573,"1028_SWD",5,False,"((((x4/ 2.674000)+(2.286000*3.018000))-(x2/ (x9-3.997000)))*sin(2.721000))",0.34714309346945205,0.2880199631493323
"GP-RV ERCs",500000,7.67591404914856,"1028_SWD",5,False,"((((x4/ 2.674000)+(2.286000*3.018000))-(x2/ (x9-3.997000)))*sin(2.721000))",0.34714309346945205,0.2880199631493323
"GP-RV ERCs",100000,7.371615886688232,"1028_SWD",6,False,"(2.712000-((2.837000/ (x9-4.499000))/ ((3.019000+x9)/ (x2+x8))))",0.3411544179528967,0.3461474414338186
"GP-RV ERCs",100000,6.292179584503174,"1028_SWD",7,False,"(4.002000+(((x2-3.673000)+(x9/ 2.211000))/ (x4+sin(x9))))",0.33077868091055795,0.32011031017490443
"GP-RV ERCs",100000,9.723057270050049,"1028_SWD",5,True,"3.7278432494873797 + (0.16244876057656146 * (((((x9+x2)-(3.224000/ x4))-((x9+2.466000)/ (x2*x7)))+((x6-sin(x9))+((x8-4.172000)/ (3.297000-2.248000))))))",0.42069984655614445,0.3658551443457274
"GP-RV ERCs",500000,7.567576885223389,"1028_SWD",6,False,"(2.712000-((2.837000/ (x9-4.499000))/ ((3.019000+x9)/ (x2+x8))))",0.3411544179528967,0.3461474414338186
"GP-RV ERCs",500000,15.718740463256836,"1028_SWD",4,True,"2.3311250306123785 + (-0.04916914350732358 * (((((x1-x3)*(x9/ x0))-((2.216000+x9)*(x1+x2)))+(((4.940000/ x7)-(2.849000*x4))-((x0*x8)+(x6*x5))))))",0.40995415048336614,0.4183173078717578
