alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"GP-RV IA",100000,6.143095016479492,"1028_SWD",21,False,"((((x2/ 2.017171676531902)/ 3.085176418444129)*(3.084135962874049-sin(x9)))+2.8655646182167924)",0.31572675946106654,0.2877152933877213
"GP-RV IA",100000,6.602751731872559,"1028_SWD",3,False,"(((x2/ 2.4681249035027264)+2.433660175408892)-(sin((2.433660175408892*3.957995234370311))*x9))",0.3185133907963007,0.2675138579966879
"GP-RV IA",100000,6.479394197463989,"1028_SWD",8,False,"((((x2+x9)/ 3.1194348542062493)+4.666520113233838)-(4.7629883926361725-2.49475433844346))",0.31635006540306165,0.26415436908843004
"GP-RV IA",100000,6.641256809234619,"1028_SWD",4,False,"(4.51089521299839+(sin((1.528003317535463*4.8324116044500744))*((x2-4.850802802329798)/ (x2+x4))))",0.3026955614817882,0.2692798731409821
"GP-RV IA",100000,6.70182466506958,"1028_SWD",6,False,"(3.057005042370874+(x9/ ((4.964054996414091/ x2)+(1.0414008060635895/ x7))))",0.3098265876320847,0.3090463129481591
"GP-RV IA",100000,7.148254632949829,"1028_SWD",11,False,"(3.207242662363656-(((x2*x9)*(x8+x7))*sin(3.170823624622591)))",0.31104337942197524,0.378070298836639
"GP-RV IA",100000,7.288770437240601,"1028_SWD",12,False,"(4.2941057654931-(((5.473032754363316-x4)/ (x2*3.17208585065072))+sin((3.204356226894208*x8))))",0.32332060618190706,0.2863846216429379
"GP-RV IA",100000,7.364758491516113,"1028_SWD",10,False,"(4.395557634760212-(((5.610835404061522-x4)/ (x2*2.834049482367385))*(sin(4.395557634760212)*sin(4.395557634760212))))",0.2787780492710741,0.36929108300428926
"GP-RV IA",100000,7.288872957229614,"1028_SWD",20,False,"(3.3768072732834242-sin((2.473581865921487+(x2/ 1.8612193184685315))))",0.27591028768608394,0.2214369462024235
"GP-RV IA",100000,7.90418553352356,"1028_SWD",1,False,"(((x2/ 2.6344063689457884)+3.59333625737391)-(((4.602783009745788-x9)-sin(5.418561384754001))/ ((x8/ 2.6344063689457884)+(x4+x7))))",0.3810016963640488,0.2681802763377864
"GP-RV IA",100000,7.6676106452941895,"1028_SWD",14,True,"2.0775238638085547 + (0.15262647210538066 * (((((x9+x4)-(2.9143292173506543/ x2))+(x7+(x6+x2)))+x8)))",0.3806825386999515,0.43459722635659226
