alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"GP-RV IA ERCs",100000,7.101203441619873,"1028_SWD",3,False,"(3.556000+(((x2-2.364000)/ 2.615000)+(sin(3.327000)+(x9/ 4.473000))))",0.3205559706178217,0.27653645339008626
"GP-RV IA ERCs",100000,8.000699758529663,"1028_SWD",4,True,"2.2256939871171895 + (0.1399600969121687 * ((((x2+(x1+x8))+((x4+x5)+sin(x2)))+(((x2*x9)/ (4.812000-x9))-((4.708000/ x7)/ x6)))))",0.4219009639289827,0.42866193097906136
"GP-RV IA ERCs",100000,8.338742017745972,"1028_SWD",2,False,"((4.862000/ (4.638000+(2.144000/ x2)))*(4.797000+(sin(4.227000)/ (x4*x9))))",0.31963972443419997,0.3607662961492272
"GP-RV IA ERCs",100000,8.539990186691284,"1028_SWD",1,False,"((((x9/ x4)+(3.989000/ 3.078000))*((4.603000/ 2.720000)*sin(3.288000)))+(((x2/ 3.007000)*(x9/ 2.089000))+3.607000))",0.3557448564260659,0.27500283746195575
"GP-RV IA ERCs",100000,8.998063087463379,"1028_SWD",1,True,"0.6314070597086326 + (0.14196284408850982 * (((x6+((x1+x5)+(x4+x2)))+(((x9*x7)+sin(x7))+((2.049000*3.770000)-(2.612000-x8))))))",0.4307442781400881,0.26286297512451984
"GP-RV IA ERCs",100000,8.889860153198242,"1028_SWD",3,True,"-1.45085276981123 + (1.4589657624778931 * (((((3.963000*2.817000)/ 4.829000)+((x2*x9)*sin(3.069000)))+(((x4+x7)+(x8+x1))/ ((3.244000*2.440000)+(x1/ x6))))))",0.40702417713345107,0.3931756546022318
"GP-RV IA ERCs",100000,9.36305022239685,"1028_SWD",0,True,"5.437447314760779 + (-0.07470337592555502 * (((((4.226000*3.224000)/ x2)+(sin(x3)+(2.079000+3.821000)))-(((x9*x4)*(x7/ 2.359000))-((3.778000*4.176000)-(x6*x8))))))",0.4303340481910233,0.31875428113699833
"GP-RV IA ERCs",100000,9.871058702468872,"1028_SWD",2,True,"1.8929811276892232 + (-0.1526375354079252 * (((((4.688000/ x2)-(x4+x9))-((3.287000/ x9)*(3.551000-2.898000)))-(((x8*x8)*sin(2.866000))+((x7+x9)+(x1+x6))))))",0.4096270058211454,0.4112225080832559
"GP-RV IA ERCs",100000,9.91267442703247,"1028_SWD",4,False,"(sin(((x4/ 2.538000)/ (3.882000-x9)))+(2.701000+(x2/ 4.139000)))",0.34131454152469776,0.3376624582573604
"GP-RV IA ERCs",500000,10.638817548751831,"1028_SWD",0,False,"((((x2+x9)/ (3.838000+3.069000))+3.707000)-sin((2.022000/ (x4*x2))))",0.3664974534571783,0.32198199731367183
"GP-RV IA ERCs",500000,10.535794973373413,"1028_SWD",4,False,"(sin(((x4/ 2.538000)/ (3.882000-x9)))+(2.701000+(x2/ 4.139000)))",0.34131454152469776,0.3376624582573604
"GP-RV IA ERCs",100000,10.853407144546509,"1028_SWD",0,False,"((((x2+x9)/ (3.838000+3.069000))+3.707000)-sin((2.022000/ (x4*x2))))",0.3664974534571783,0.32198199731367183
"GP-RV IA ERCs",500000,12.819092988967896,"1028_SWD",2,False,"((4.862000/ (4.638000+(2.144000/ x2)))*(4.797000+(sin(4.227000)/ (x4*x9))))",0.31963972443419997,0.3607662961492272
"GP-RV IA ERCs",100000,7.198171377182007,"1028_SWD",5,False,"(2.941000-(sin(3.163000)*((x9+x8)*(4.193000*x2))))",0.337678702523714,0.2594910398096282
"GP-RV IA ERCs",500000,14.576104879379272,"1028_SWD",1,False,"((((x7+x4)-(3.873000*3.078000))/ ((4.607000/ 2.720000)*(3.288000+4.231000)))+(((x2/ 3.089000)*(x9/ 2.089000))+3.607000))",0.3618069981626012,0.23014698482146623
"GP-RV IA ERCs",500000,15.914303302764893,"1028_SWD",3,False,"(3.556000+(((x2-2.375000)/ 2.615000)+(sin(3.331000)+(x9/ 4.464000))))",0.32061273931805756,0.2756244169323041
"GP-RV IA ERCs",100000,7.585619211196899,"1028_SWD",6,False,"((((x2/ 2.271000)*(x9/ 2.510000))*sin((3.361000*4.025000)))+3.109000)",0.299084918957764,0.29466863140855293
"GP-RV IA ERCs",100000,9.011599779129028,"1028_SWD",5,True,"2.3347590514963796 + (-0.05664623376744902 * (((((2.913000/ x6)-(x3-x1))-((x9+2.393000)*(x1+x2)))-(((x8*3.852000)+(4.957000*x4))/ ((3.018000-x5)+(x1/ x7))))))",0.4172911993746071,0.3526928424009973
"GP-RV IA ERCs",100000,7.217299461364746,"1028_SWD",7,False,"(4.564000-(((x2+3.628000)/ (x2/ 3.002000))/ (3.188000*(x4+x9))))",0.3033379602967514,0.20347694523430626
"GP-RV IA ERCs",100000,8.597902059555054,"1028_SWD",7,True,"2.402401664241765 + (0.07673208681080464 * ((((3.307000+(x9-x4))*sin((4.899000/ x2)))+(((x7*x4)+(x6+x3))+((x9*x8)+(x2+x1))))))",0.42345461982536037,0.4106120008750942
"GP-RV IA ERCs",100000,10.38281798362732,"1028_SWD",6,True,"3.0299776472654565 + (0.03745496628987344 * (((sin((4.468000/ x2))*((x2*2.507000)+(x2+x9)))-((sin(x9)-(x4+x9))*((x7+x6)-(2.276000-x8))))))",0.41517032838044854,0.4214368105600841
