alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"Mixed (MI)",500000,5.625367164611816,"1028_SWD",1,False,"((1.0343906190977425 - -3.1325696876280755) - (sin((x2 - -0.23290304666147787))/x2))",0.2705296735876671,0.22062556921196108
"Mixed (MI)",500000,6.211046934127808,"1028_SWD",3,False,"(3.197472698010518 - (((x2/3.2354337444139727) + (-0.3723681126081585/x4)) * (sin(-0.2953622203219092) * (x0 + x9))))",0.3582489643224519,0.33082823743513967
"Mixed (MI)",500000,6.489182949066162,"1028_SWD",4,False,"((((x2 - 2.641171641066571) - sin(x8))/(sin(x2) + (x2 * x4))) - -4.133971538601094)",0.3214986021774918,0.2864061203971824
"Mixed (MI)",500000,6.7481489181518555,"1028_SWD",0,False,"(x2 + ((sin(-4.09186771332274) + sin(x2)) + ((x4/x2)/(-1.3594323152931265 * -2.894191151486993))))",0.3057839016007331,0.26710868899980533
"Mixed (MI)",500000,7.952617883682251,"1028_SWD",2,False,"((((1.9134925470617403 + x5) - (x2/-1.3985797076491435)) + (sin(x2) - x5)) - ((x2/(0.5388824261955383 + x9)) * (sin(x2)/x4)))",0.31215634173667195,0.3310141451899381
"Mixed (MI)",500000,10.728931188583374,"1028_SWD",1,True,"1.57661 + (0.138788 * (((((x6 + x1) + (x9 * x7)) - ((x9/x2) - (x4 + x2))) + (((x8 + x5) + sin(x1)) - ((x7 - x9)/(4.037740714076273 - x3))))))",0.4558926227516772,0.2855618061295778
"Mixed (MI)",500000,10.870041847229004,"1028_SWD",4,True,"2.18706 + (0.0856273 * (((((x9 * x2) + (x4 + x0)) + ((x7 + x8) + (x3 + x4))) + ((sin(x2) + (x5 + x6)) - ((4.25961360073207/x2)/(0.5621826657127726 * x1))))))",0.4213312651838834,0.4295969909111672
"Mixed (MI)",500000,11.234458923339844,"1028_SWD",2,True,"2.71141 + (0.187297 * (((((x9 + x8) + (x4/x9)) - ((x9/x5)/(x1 * x2))) - (((x1/x6) - (x7 - 2.5943651751285524)) - ((x2 + x9) + (-2.7506348741638673/x1))))))",0.4252810868284761,0.4178359266133713
"Mixed (MI)",500000,5.702171087265015,"1028_SWD",5,False,"((((0.4491699436598018 * x4)/(x8 + x1)) - (-0.22504484254859902 * (x9 + x8))) - (-2.548483397259654 - ((-2.108139328067225 + x2)/(x1 + x5))))",0.35901433549391404,0.32884562069704215
"Mixed (MI)",500000,11.43992304801941,"1028_SWD",0,True,"1.77999 + (0.104287 * (((((x2 + x1) + (x8 + x0)) - ((x3 + x9)/(x2 * x2))) + (((x9 * x7) + (x5 + x6)) + (sin(x7) + (x4 + x3))))))",0.45232769611697154,0.32533923930933806
