alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"Mixed (Node)",500000,6.957025766372681,"1028_SWD",0,False,"(1.8107771614458312 + (((x2 + x9)/3.639818409922041) + sin((0.5715048831969427 * x7))))",0.34384919597811037,0.2280244963686192
"Mixed (Node)",500000,7.09095573425293,"1028_SWD",4,False,"((((0.1700063920118755 * x4) + x2)/(sin(x9) + 2.2117471197203242)) + 2.89437758053647)",0.3297232022106177,0.33578402160184195
"Mixed (Node)",500000,10.45423412322998,"1028_SWD",1,False,"((((x4 + x9) + (x7/x2))/(3.8443245263540415 + (x2/x3))) + ((x2/sin(-4.513538268460535)) + (sin(x2) * sin(x5))))",0.4003458556081696,0.29057677295297535
"Mixed (Node)",500000,10.665146827697754,"1028_SWD",3,False,"((((x9 - x4) * (-0.2402852696542812/x2)) - (-4.219372163315888 + sin(x9))) + (((x8 + x7)/(2.5824703884035216 + 3.13052568335677)) - (x2/(x2 * x2))))",0.37593648809115277,0.3775449962304621
"Mixed (Node)",500000,11.254408121109009,"1028_SWD",2,False,"(((x0 + sin(x0)) + ((x7 + x9)/(x0 + 1.3192510132964375))) - ((sin(x8)/(x6 * x4)) + ((x0 - x2)/(x0 * x2))))",0.3246073763308508,0.3398898551312872
"Mixed (Node)",500000,14.06199026107788,"1028_SWD",0,True,"1.61726 + (-0.146736 * (((((x9/x2) - (x7 * x9)) - (0.574945607346935 + (x6 + x4))) - ((x9 * sin(x7)) + ((x1/x9) + (x8 + x2))))))",0.4491771341295884,0.3389302869999704
"Mixed (Node)",500000,14.291728973388672,"1028_SWD",3,True,"2.10218 + (0.10789 * (((((x1/x5) - sin(x8)) - sin((x1 + x2))) + (((x6 + x8) + (x5 * x7)) + ((x4 * 1.113886528493252) + (x2 * x9))))))",0.4288301070250984,0.4183352304020478
"Mixed (Node)",500000,14.444309949874878,"1028_SWD",1,True,"3.21847 + (-0.0956238 * (((((x3 - x4) - (x3 * x2)) - (sin(x2) - (x3/x2))) - (((-4.754620133172556/x6) + (x9 * x8)) - ((4.7760775525325325/x1) - (x5 * x7))))))",0.4521632036620604,0.3080727715779379
"Mixed (Node)",500000,14.435160160064697,"1028_SWD",4,True,"3.38173 + (-0.150852 * (((((4.535787037223687/x2) - (x4 + x8)) + ((x9 + x9)/(x6 * x7))) - (((x9 + x9) + (-2.7666795779638105/x1)) - sin((x6 * x5))))))",0.43297721608310846,0.4385185793580215
"Mixed (Node)",500000,7.704049825668335,"1028_SWD",5,False,"((3.1801001159495588 - (sin(x9)/(x0 * x3))) + (x2/2.6441411459634914))",0.3393058140182096,0.26219722575769133
"Mixed (Node)",500000,14.564781188964844,"1028_SWD",2,True,"1.8184 + (0.157376 * ((((sin(x1) + (x9 + x5)) + ((x9 + x1) - (x9/x2))) - (((x3/x2) - (x4 + x3)) - ((x8 + x6) + (-3.076288697609765/x7))))))",0.42738648350011565,0.443938249192409
"Mixed (Node)",500000,7.84312105178833,"1028_SWD",7,False,"((((x8/x7) + (x2 - 2.1114796921844348))/3.9978592531074373) - (((0.8226580708952025/x7) - 4.318326609365143) + (sin(x9)/x4)))",0.37617268428394945,0.32647119449055717
"Mixed (Node)",500000,9.428241968154907,"1028_SWD",6,False,"((sin((4.377879461461754 * 2.975144751325617)) + ((x2 * x9)/(x9 + x2))) - (((1.5305958268019415/x4)/(x7 * x8)) + -2.64261481455005))",0.37345034014806844,0.37439485573192977
"Mixed (Node)",500000,13.924489974975586,"1028_SWD",5,True,"3.37222 + (-0.127175 * (((((4.912341192889718/x7)/x1) - ((-4.020096064492498/x6) + (x2 + x5))) - (((x4 - x8) + (x9 * x8)) + ((-2.8898455294712972/x2) + sin(x1))))))",0.44014547322151654,0.38126908342956034
