alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"Mixed IA",100000,0.7949173450469971,"1028_SWD",1,False,"(3.4804712642997595 + ((sin(x9) - x9)/(2.5831971110991567/(x2/-3.3074893573631057))))",0.2445483552819454,0.18049659592393874
"Mixed IA",100000,0.9285070896148682,"1028_SWD",0,False,"((((x5 + 2.111107283403364)/x5) + x5) - (sin(x2)/x2))",0.2543683124068017,0.18028165055716605
"Mixed IA",100000,0.8891189098358154,"1028_SWD",2,False,"(4.398568778936594 - (((x1/x4) + sin(x8))/(x1 * x2)))",0.3060765051209935,0.3171617362210779
"Mixed IA",500000,0.9411389827728271,"1028_SWD",1,False,"(3.1555988897805043 + (x2/((1.6737991996571844 - x9) + 4.300593662145987)))",0.2983960921922578,0.24710853340945227
"Mixed IA",100000,1.5887000560760498,"1028_SWD",1,True,"2.00828 + (0.168107 * (((((x9 + x4) + (x7 + x8)) - (sin(x9) - (x2/0.5897278707584708))) - ((sin(x6) + (x4/x6))/x1))))",0.42755007073778484,0.3031133245437335
"Mixed IA",100000,1.575411081314087,"1028_SWD",2,True,"2.15752 + (0.101619 * (((x7 + ((x9 * x2) - (x0/x2))) + (((x0 + x1) + (x4 + x6)) + x8))))",0.39389592542369156,0.42350321294544113
"Mixed IA",500000,0.8783972263336182,"1028_SWD",2,False,"(sin(sin(x1)) + (x1 + (x2/x1)))",0.20676625325194964,0.2659389621506627
"Mixed IA",100000,1.7064449787139893,"1028_SWD",0,True,"0.640036 + (-0.114505 * (((((-3.741072163330835 - x1) + (x6 - x4)) - ((x2 + x6) + (x9 * x8))) + (((x8 - x0) + (-1.5556800285743033 * 4.213688336835318)) - ((x2 + x7) + x6)))))",0.42411717826890893,0.32228579070408325
"Mixed IA",500000,1.6793110370635986,"1028_SWD",0,False,"((((4.221877373409733/x4)/2.97633622186141) + (x4 - sin(3.93397229635465))) + (sin(sin(x4)) - (sin(x2)/x2)))",0.3273696381117587,0.25321408301592785
"Mixed IA",100000,0.8595008850097656,"1028_SWD",3,False,"((x2 - -1.1769066642311499) + sin(x2))",0.2127310467377843,0.1652580683996251
"Mixed IA",100000,1.6758439540863037,"1028_SWD",3,True,"1.99264 + (0.177825 * (((((x0 + x4) - (x0/x1)) + ((x4/-3.390986489990553) + (x6 + x9))) - (((2.468045538921304/x2) - (x5 + x7)) - ((x8 * x2)/(x0 + x5))))))",0.4179176527187034,0.39287252499362235
"Mixed IA",100000,0.990382194519043,"1028_SWD",4,False,"(((x1/x9) + x9) + (sin((x9/x1))/x1))",0.15269394010544812,0.17168650423057485
"Mixed IA",500000,1.2554590702056885,"1028_SWD",3,False,"((((x7 - x7) + x2)/3.046110794885667) - -3.1005269871555443)",0.2530905137124809,0.22192120749288358
"Mixed IA",500000,1.1491751670837402,"1028_SWD",4,False,"((x2 - -1.5212361710092175) + (sin(x2) - (sin(x3)/x4)))",0.27180137171885754,0.23400843358801116
"Mixed IA",100000,1.6981821060180664,"1028_SWD",4,True,"1.3179 + (0.157489 * (((((x1 + x5) + (x4 + x6)) + (x8 + (x2 + x9))) - (sin(x9) - x7))))",0.3943160357310296,0.4208824749914535
"Mixed IA",100000,0.9548261165618896,"1028_SWD",5,False,"((x2/(sin(x9) + 2.9692510197568645)) + 3.122023778925115)",0.2785726908552596,0.24511724585801054
"Mixed IA",100000,1.617440938949585,"1028_SWD",5,True,"2.34208 + (0.115664 * ((((x6 + x4) + ((x8 + x1) + (x9 * x2))) - (((x7 * x5) - (x5 + 3.4804891108664737))/(sin(x8) + (-2.0644135939948067 * x3))))))",0.4172570630921517,0.35898385687281886
"Mixed IA",100000,0.9879679679870605,"1028_SWD",6,False,"((x1 + sin(sin(x1))) + (x2/x1))",0.22101201040937635,0.22809425521343996
"Mixed IA",500000,1.7231132984161377,"1028_SWD",5,False,"((((-3.707601748888206/x5) + (x2 - x5))/(x1 + (x0 * x2))) - -4.24901572351393)",0.30485444521978866,0.2992224404566829
"Mixed IA",100000,1.447267770767212,"1028_SWD",6,True,"1.96203 + (0.13308 * (((((x4 + x2) + (0.4440832798829053/x5)) + (x9 + (x6/x9))) + (((-4.423504224770558 + x2)/x2) + ((x7 + x8) - (x9 * -1.4999723392132214))))))",0.39785418112262405,0.403221987366465
