alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"Mixed IAm",100000,4.030118227005005,"1028_SWD",0,False,"((x2 * (x9/(x9 + 2.772638707503221))) - -2.8651677105584)",0.31230319957017105,0.23613352437352775
"Mixed IAm",500000,3.740128993988037,"1028_SWD",4,False,"(x1 - (((-1.4731595664306996 - x2) + sin(x9))/x1))",0.18227122563833575,0.2300680311669634
"Mixed IAm",100000,4.094204902648926,"1028_SWD",2,False,"(sin(x2) - (-1.0556875077339345 - x2))",0.18748785535802293,0.23977302100073838
"Mixed IAm",500000,3.288677215576172,"1028_SWD",8,False,"(4.145143652989662 - (sin(x2)/x2))",0.2597894607607957,0.23256291609494273
"Mixed IAm",100000,4.390427827835083,"1028_SWD",3,False,"((-3.14690574210773/(x2 + (x4 * x2))) + 4.420398641452364)",0.2915124242698618,0.312278952086523
"Mixed IAm",500000,5.0793280601501465,"1028_SWD",1,False,"(4.104269036431743 - (((3.744296869503758 - x2)/(x1 + x0))/x2))",0.2910194430993913,0.2455334231754076
"Mixed IAm",500000,4.549980163574219,"1028_SWD",6,False,"(3.966626780803092 - (((1.8094232953287614 - x2)/x2)/x2))",0.24079029668627316,0.19633421111057903
"Mixed IAm",500000,4.627466917037964,"1028_SWD",5,False,"((x2 + sin(x2)) + (x1/x1))",0.20503751825445105,0.12556981325628835
"Mixed IAm",500000,3.9358792304992676,"1028_SWD",10,False,"(4.8747966915950025 - (((0.7367735258212205/x4) * (x9/x2)) + sin(x9)))",0.255890513823953,0.3056064723992229
"Mixed IAm",500000,5.247591018676758,"1028_SWD",9,False,"(x6 + (((x2 + x5)/(x6 + x5)) - sin((x6 - -3.193200235293357))))",0.22830488037407093,0.24317618605353386
"Mixed IAm",100000,5.77986216545105,"1028_SWD",8,False,"((sin(x2) * sin((x9/x2))) + (x2 + ((x5 + x9)/(x5 + x2))))",0.2712024008334325,0.18267209999946854
"Mixed IAm",100000,6.1219470500946045,"1028_SWD",6,False,"(sin(((x9/x2) * sin(x0))) + (x0 + ((x3/x0)/(x3/x2))))",0.21751314322811677,0.1754459153227682
"Mixed IAm",100000,6.424214124679565,"1028_SWD",4,False,"(2.099032168121929 - (((x4 + x2) + x9)/((-3.988310756889529 + 1.0633624883655102) - (x2/x2))))",0.327069384385569,0.31374274180726414
"Mixed IAm",500000,6.196407079696655,"1028_SWD",7,False,"(3.026715074505261 - (sin((-0.4720466158329395 * x9))/((x0 + 2.5898502425853343)/(x2 * x0))))",0.290515480385802,0.3320416077272902
"Mixed IAm",100000,6.6845269203186035,"1028_SWD",7,False,"(x5 + ((sin(1.0163317449150422) - sin(x9)) - ((x5 - 2.6022765345668084) - (x2 * 0.441792863742968))))",0.2628301043478799,0.25597616131741674
"Mixed IAm",500000,7.221138954162598,"1028_SWD",3,False,"((((x2 + x9)/(1.824623614985843 + x7)) + x7) + sin((x7 - (-0.43296703693369465/x4))))",0.33176392546555666,0.32525753456439555
"Mixed IAm",100000,6.712217092514038,"1028_SWD",10,False,"((((x2 - 1.8723182511361502)/(x1 * x5))/(sin(0.6745411101693854) + sin(x9))) - -3.7488645717019784)",0.2379172498423826,0.3158373671135506
"Mixed IAm",100000,8.79214096069336,"1028_SWD",1,False,"(1.5700568937602577 - (((x2 * -0.33226378368156506) - (x9/3.462510295851967)) - sin((x7/1.8221158729866394))))",0.3505572259340751,0.19789827809134208
"Mixed IAm",100000,5.417461156845093,"1028_SWD",11,False,"((4.8861411368715935 - (sin(x3)/(x4 * x7))) - (1.524107191766535/x2))",0.3093902116107926,0.3846333373180748
"Mixed IAm",500000,3.751073122024536,"1028_SWD",12,False,"((x2 * (x9/(x2 + x1))) + (x1 + sin(x1)))",0.23814703448832553,0.12342559423075228
"Mixed IAm",100000,8.5502610206604,"1028_SWD",5,False,"((((x9 - x7) - (x8 + x2))/(x9/(-0.4975827490147411/1.6390043339488514))) + (sin(x5) + x9))",0.28198983917329556,0.23585118510612602
"Mixed IAm",500000,10.165977954864502,"1028_SWD",2,False,"(((sin(0.9738871705031438) + (3.1592556392260116 - x1)) - ((x4 + x9)/(-4.992953258107963 - 2.4651275512896955))) - (((1.6179137022492496/x2)/1.225982577483471) - x1))",0.33341896162882845,0.37303054019790904
"Mixed IAm",500000,7.358578205108643,"1028_SWD",11,False,"(((x2/sin(-4.406326495264581)) + ((x9 + x4)/(2.184310629244246 + x2))) + sin(x2))",0.2962436498636044,0.33383525294123195
"Mixed IAm",100000,3.671128034591675,"1028_SWD",15,False,"(4.345089297959208 - sin(((1.5891692746346742/x2)/x2)))",0.25722812440117926,0.21479088530221158
"Mixed IAm",100000,11.714117050170898,"1028_SWD",2,True,"1.50295 + (0.167351 * (((((x5 + x8) - sin(x9)) + x4) + (((x7 + x2) + (x6 + x9)) - sin((-4.359269151602974 * x1))))))",0.4135572909232099,0.4156397611135373
"Mixed IAm",100000,11.612639904022217,"1028_SWD",4,True,"1.28788 + (0.169542 * (((sin((3.726103664552917/x1)) + ((x2 + x6) + (0.7440017720539693 * x5))) + (((x7 + x8) - sin(x9)) + ((x9 + x4) + (x1/x1))))))",0.40543590325457,0.4408291549822464
"Mixed IAm",100000,7.383420944213867,"1028_SWD",12,False,"(((x2 - (x5/x4))/(sin(x9) + 2.2834558621052503)) - -3.3264613074321443)",0.3373778072100221,0.24374729914805526
"Mixed IAm",100000,11.180449962615967,"1028_SWD",9,False,"((4.0956162752709915 - (sin(x2)/(x2 * x1))) - ((sin(x0)/(x4 - 0.038523108505381654)) * (sin(x2)/(x6 * x9))))",0.29217766896765784,0.34105479010111306
"Mixed IAm",100000,12.142701864242554,"1028_SWD",3,True,"2.0219 + (-0.156749 * (((((x5 - x9) - x7) + ((x6/x2) - (x5 * x6))) - ((x2 + (x4 + x8)) - sin((x1 + x1))))))",0.4186437172495596,0.3849245580617008
"Mixed IAm",100000,12.80522894859314,"1028_SWD",0,True,"2.70311 + (0.0809184 * (((((x4 + x2) + (x6 + x8)) - ((x0/x7) + (4.745928232236782 - x3))) - (sin((x5 * x6)) - ((x0 * x1) + (x2 * x9))))))",0.4390782999928642,0.30593607003419565
"Mixed IAm",100000,7.284273862838745,"1028_SWD",13,False,"(((x2 - (x2 - x1)) - sin((4.403272033894651 * -2.049358411919921))) + (((x9 + 3.9230330300408136)/(x1 + x1)) * ((x0 + x2)/(x0 + 3.3750509994673883))))",0.2765903208435614,0.24371092722719312
"Mixed IAm",100000,12.613395929336548,"1028_SWD",1,True,"2.86051 + (0.10893 * ((((x2 + (x7 * x9)) + ((-4.651184584191056 + x8) - (4.1553383011274905/x6))) - (sin((x5 * x4)) - ((x4 + x1) + (x2 * 1.3256351955767753))))))",0.4453484739173805,0.27274355785408266
"Mixed IAm",100000,11.672207832336426,"1028_SWD",9,True,"2.29915 + (0.0480656 * (((((x4 + x9) * x7) + ((x4 - x9) + (x1 + x3))) + (((x6 * x9) + (x2 * 4.101737259530429)) + ((x9 * x8) - (x7 - x2))))))",0.3907843077159262,0.44626608105885424
"Mixed IAm",100000,12.325668811798096,"1028_SWD",5,True,"2.33669 + (0.0709037 * ((((sin(x0) - (x9/x2)) + ((x6 * x1) + x8)) + (((x5 * x4) + (x2 * x9)) + ((x9 * x7) + x8)))))",0.4200976672464888,0.3503601363973148
"Mixed IAm",100000,12.113187074661255,"1028_SWD",7,True,"2.35286 + (-0.133658 * (((((x3/x2) - x3) - ((x0/x9) - (3.347571165772396/x1))) - ((x8 + (x2 - x7)) + ((x4 + x6) + (x9 * x7))))))",0.42459797856035364,0.40604431871756863
"Mixed IAm",100000,12.41779088973999,"1028_SWD",6,True,"2.92022 + (0.138464 * (((x9 - ((2.3728031024244514/x7) - (x6 + x4))) - (((x0 * -0.02284853519670782) - (x8 + x2)) + ((4.115260885681219/x2) + sin(x9))))))",0.4056536973025371,0.41210999065514486
"Mixed IAm",100000,12.222438097000122,"1028_SWD",8,True,"1.46086 + (0.117257 * (((((x4 + x6) + (x9 * x2)) - ((x3 - x7)/(x8/x0))) + (((x3 + x8) - (-4.415802202196494 - x1)) - sin((x2 + x2))))))",0.42439892106330646,0.3772148678883064
"Mixed IAm",100000,12.875520944595337,"1028_SWD",10,True,"0.694173 + (-0.173778 * (((((x5 - x9) - (x6 + x9)) - ((x5 + x4) + (x2 + x7))) + ((sin(x4) * (x2/-2.8144336969460317)) - ((x5 + x8) + (x1/x9))))))",0.40391194057155766,0.42324808686516
"Mixed IAm",100000,7.36506986618042,"1028_SWD",14,False,"((((x2 + x9)/4.273046303475795) - -2.809474610720647) + (((-2.4630063644921494/x6)/(3.404251988896889 * x4))/x8))",0.3194251711278048,0.32367236247149433
"Mixed IAm",500000,8.04735016822815,"1028_SWD",13,False,"(4.12392627368796 + ((sin(x4)/(-2.418904664823778 * x2)) - (sin(x2)/(x2 * x0))))",0.2899328731349321,0.2746844582974597
"Mixed IAm",100000,11.872037887573242,"1028_SWD",11,True,"2.36387 + (0.118633 * (((((x5 + x2) - (x8/x7)) - sin((x2 + x4))) + (((x2 + x4) + (x9 * x8)) - sin((x7 + x1))))))",0.3949713632717776,0.4350932652177829
"Mixed IAm",500000,7.7604570388793945,"1028_SWD",15,False,"((sin(x2) + ((x4 - x2)/(x2 - -2.5642620701221137))) - (((x1 - x2) - (x4/x4)) - x1))",0.3012645542837885,0.22417940672530257
"Mixed IAm",500000,5.463119029998779,"1028_SWD",16,False,"(sin(((x0 * x2)/(x0 - -2.4590342433868795))) - -2.979018215102139)",0.20142235463989355,0.19743169712713815
"Mixed IAm",100000,4.085391998291016,"1028_SWD",20,False,"(3.0663363125375453 - ((sin(x2)/(x2 * x2)) - 1.064902113670133))",0.2656133728328067,0.21216564774160407
"Mixed IAm",100000,5.705878019332886,"1028_SWD",17,False,"((x9/((4.163877206079359 + x9)/x2)) - -3.117129540621474)",0.30669468743970985,0.26536059836106407
"Mixed IAm",500000,17.577733039855957,"1028_SWD",0,False,"((1.8976056279274467 + ((x0/x0) + sin(x5))) + (((x8 * x9) * (x6 * 0.043536321871580075)) - ((x6/x2)/(x6 * x1))))",0.37742874906070945,0.3063724626499016
"Mixed IAm",100000,5.222962856292725,"1028_SWD",18,False,"((((4.117653033410017/-4.04457150829521)/(x2 * x2))/x4) - -3.9951294884299844)",0.2397253015323707,0.20764340363815037
"Mixed IAm",100000,12.669067621231079,"1028_SWD",12,True,"2.70557 + (0.111313 * (((((x8 + x6) + sin(x5)) - ((x1 - -4.200850771954756)/(x1 * x2))) + (((x0 + x4) + (x2 * x9)) - ((x2/x7) + sin(x5))))))",0.44243037799615137,0.31892795681116914
"Mixed IAm",500000,10.782553911209106,"1028_SWD",14,False,"((((x9 + -4.383284301358424) - (x9/x7))/((x6 * x8) + (x4 * x2))) - (-3.504215833529851 + sin((2.9657515135940016 + x5))))",0.3133300434477718,0.36130712394768627
"Mixed IAm",100000,9.504596948623657,"1028_SWD",16,False,"((((x9 - x9) - sin(x9))/((x8/x2) + (x4 * x9))) + (3.781218333487474 + ((x2 - 1.8056445016180311)/(4.716519365468635 - x3))))",0.31334800659512807,0.3476242047377488
"Mixed IAm",100000,11.871204137802124,"1028_SWD",13,True,"2.51952 + (0.0654881 * (((((x7 * x4) + (x6 * x1)) + x5) - (((-1.4608550800925502 * x8) - (x2 * x9)) - ((-4.532266646774849/x2) + (x8 + x0))))))",0.4172520181492453,0.3706095490442306
