alg_name,max_evals,time_seconds,problem_name,run,linear_scaling,sympy_expr,r2_train,r2_test
"gpg",500000,6.933535099029541,"1028_SWD",0,False,"x2 + sin(sin(x2)) + (2*x0 - 0.393845/x9)/(x0 + x2/x4)",0.34189282275168864,0.2181019105695715
"gpg-node",500000,6.141122102737427,"1028_SWD",0,False,"2.457719 + (x2*x6 + x4 + x9)/(x6 + 2.483825 + 4.087088/x7)",0.3942982712585431,0.23820363299748948
"gpg",500000,8.448276042938232,"1028_SWD",2,False,"0.387358498065132*x2 + 0.387358498065132*x9 + 2.150211 + 0.271198575665081*(x4 - x9)/x2",0.33486961206108135,0.38470884331218647
"gpg-node",500000,7.022755146026611,"1028_SWD",2,False,"0.247061878376873*x8 + sin(x5) + 1 + (x2 + 0.347908980052639*x4 + x9)/(2.503672 + 2.036637/x7)",0.35566739701175265,0.4048553946654154
"gpg",500000,9.146756887435913,"1028_SWD",4,False,"0.264917574870343*x2 + 0.264917574870343*x9 + 2.800546 - 0.257585639497564*x9/(x2*x4)",0.3502079489173666,0.3559696413267669
"gpg-node",500000,6.9178900718688965,"1028_SWD",4,False,"(x2 + 2*x4 + x6 + x7 + x8 + x9 + 2.807818)/(x4/(x5 + 1.648922) + 3.972032)",0.37807609269644027,0.4006422878264556
"gpg",500000,9.954080581665039,"1028_SWD",3,False,"0.277882292395529*x2 + 0.277882292395529*x4 + 0.277882292395529*x7 + 0.277882292395529*x9 + 1.06677205815743 + 0.277882292395529*x8/x4",0.36076212378565664,0.31949742958897176
"gpg-node",500000,6.306221961975098,"1028_SWD",3,False,"(x2 + x7 - 0.998924175994953)/(-x9 + 4.927484 + x7/x4) + 2.891789",0.3727939562582756,0.33640495145346827
"gpg",500000,9.362203359603882,"1028_SWD",1,False,"(x4 + x5 + x9 + (x2 + x8)*(x9 + 3.785352))/(x2 + x8 + x9 + 1.108371 + 1.713187/(x6*x7))",0.42534373407572623,0.3116812766706548
"gpg-node",500000,7.5791709423065186,"1028_SWD",1,False,"0.291658451620279*x9*sin(x5) + 3.902895 - 4.399303/(x2*(x4 + x7))",0.38118828829694995,0.25271709704895506
