total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.0054464899004,'((-0.000003908787) + (1.442695021629 * ((0.693147182465 * x5) + ((0.693147182465 * x6) + (0.693147182465 * x4)))))',5.139912315924197e-11,1.4050124952369458e-10,934090492,409,1,58,12,128,paper,4,0,2811363264,4.771385189482393e-11,1220.0001122499998
3600.006442394108,'(1.461834430695 + ((-3.226125240326) * ((((-0.309975951910) * x6) + (((((-1.643425703049) * x4) + ((-1.643425703049) * x5)) * (0.434294492006 ^ 2)) + (((-0.021540209651) ^ 2) * (0.014207884669 * x6)))) + ((-0.673139929771) ^ 2))))',1.0039392586685443e-10,5.058045093875306e-10,584953411,409,0,58,12,128,paper,4,0,3324115916,1.8238703795032407e-11,804.9987562500002
3600.009141366929,'((-0.000022748136) + ((-1.027465224266) * (((-0.973269820213) * x4) - ((0.973268806934 * x5) + (0.973268806934 * x6)))))',4.333813271133658e-10,1.067809507482309e-09,842619360,409,10,58,12,128,paper,4,0,4190266092,2.1832904058263035e-10,6.940590250000015
3600.009229369461,'((-0.000040289007) + (0.690197646618 * (((1.448861002922 * x6) - ((-1.448860406876) * x4)) + (1.448859930038 * x5))))',3.11748588708271e-10,1.103938385149661e-09,929542304,409,12,58,12,128,paper,4,0,3269070126,1.3842042818957412e-10,613.4042890000005
3600.0093855001032,'(0.000032692609 + ((-0.803155779839) * (((-1.245088696480) * x4) - ((1.245087981224 * x6) - ((-1.245088696480) * x5)))))',2.66907748183034e-10,8.02864275062376e-10,930491520,409,26,58,12,128,paper,4,0,3533734220,1.0141744752106987e-10,393.9828010000007
3600.009159229696,'(0.000008746162 + (0.265000402927 * (((3.141394615173 * x6) + (0.720774114132 * x5)) + (((3.052806615829 * x5) + (3.773574829102 * x4)) + (0.632184863091 * x6)))))',5.96288385836074e-10,7.707497418074637e-10,762112622,409,21,58,12,128,paper,4,0,784044718,2.908311487839183e-10,723.5562009999993
3600.0107742138207,'((-0.218470737338) + (0.152348458767 * ((exp(exp((((6.057951927185 * x5) / ((-2.958686828613) * x4)) / 3.073915481567))) * (7.597277164459 * x5)) + (6.592724800110 * x6))))',2.6523027503097065,2.652291774749756,729503030,409,11,58,12,128,paper,4,0,3160032368,0.5598657995491971,165.920161
3600.010181337595,'(0.000009643714 + (0.254069715738 * (((3.935926914215 * x4) + (3.935927629471 * x5)) + (3.935927629471 * x6))))',2.684705217335716e-11,2.488879380369013e-10,938496213,409,20,58,12,128,paper,4,0,1592565386,4.745959518459512e-11,1808.1630062500008
3600.009242091328,'((-0.000037097150) + (2.301436662674 * (((0.434511333704 * x4) - ((-0.434511095285) * x5)) + (0.434511333704 * x6))))',1.6284176815856638e-10,5.66019342507218e-10,927396229,409,15,58,12,128,paper,4,0,2204291346,7.522676243244595e-11,41.364192249999995
3600.005647562444,'(0.000031217147 + (0.192278295755 * (((5.200795173645 * x4) - ((-5.200793743134) * x6)) + (5.200795173645 * x5))))',9.210376377580748e-11,2.8903113236111716e-10,820656603,409,4,58,12,128,paper,4,0,3687649985,4.207110561565249e-11,40.17024400000028
3600.0098592303693,'(0.000021919934 + (1.201184630394 * ((0.832511365414 * x4) - (((-0.832511544228) * x5) - (0.832511365414 * x6)))))',3.684870129806847e-11,5.419333870548826e-10,933464397,409,3,58,12,128,paper,4,0,1859786275,1.8301506348579682e-11,281.83694400000036
3600.0092514380813,'((-1.995174407959) + (0.375123113394 * ((((-2.462129592896) * (((-1.732756018639) * x7) + (exp((((((0.319707870483 * x1) ^ ((-0.389748305082) * x5)) ^ 2) ^ 2) / (cos((1.075556039810 * x5)) / sqrt(exp(((-6.365149021149) * x7)))))) - cos((8.128887176514 * x7))))) ^ sin(((-0.865499794483) * x1))) + ((2.713935136795 * x3) + (2.676612377167 * x2)))))',,12.409819602966309,330089042,409,19,58,12,128,paper,4,0,2148995112,1568.9076697672333,15279.679321000001
3600.0068300180137,'((-0.000034119203) + (0.781725406647 * (((1.279222011566 * x4) + (1.279221653938 * x5)) - ((-1.279221773148) * x6))))',3.5890051216061315e-10,2.617337679922116e-09,933416676,409,22,58,12,128,paper,4,0,3980425317,6.930678107635424e-11,390.8133610000002
3600.0067754760385,'(0.000006745560 + (0.266853600740 * (((3.747372150421 * x6) - ((-3.747373819351) * x4)) - ((-3.747373819351) * x5))))',1.4415949099499488e-10,3.9340350421746e-10,932463590,409,2,58,12,128,paper,4,0,1884968544,3.8870312323769397e-11,892.0376890000002
3600.0094673112035,'(11.778390884399 + ((-0.319943666458) * ((((-2.155943870544) * x2) - (2.444439172745 * x3)) - sqrt((((((((-0.676426410675) * x5) * sqrt(sqrt(((sin(log(sqrt(((0.326123178005 * x9) * (0.551733016968 * x1))))) - ((0.747155249119 * x0) ^ sin(cos(((-1.041793942451) * x1))))) / ((-0.081014171243) * x10))))) ^ 2) + (0.903640985489 * x6)) ^ 2) - ((-0.064838387072) * x10))))))',26.235293429995476,26.23536491394043,377605279,409,17,58,12,128,paper,4,0,3606691181,592.3797130528986,2172.8183822499986
3600.008979305625,'((-0.000095047915) + (2.994559526443 * ((0.333938866854 * x6) + ((0.333940029144 * x4) + (0.333938866854 * x5)))))',3.3339097504170434e-09,3.797548053796618e-09,932781960,409,18,58,12,128,paper,4,0,1934392872,3.0466105335347524e-08,12768.322008999996
3600.0090919695795,'(6.901954174042 + (0.344219505787 * ((2.912033319473 * x2) + (((sin(sin((((-0.637488424778) / (0.015901550651 * x1)) / (-0.571415841579)))) + ((0.015901550651 * x1) ^ (((-0.059543810785) * x8) / ((-0.797614991665) * x9)))) / cos(log((0.083077035844 * x4)))) - ((-2.864877223969) * x3)))))',40.58782957592267,40.58774566650391,383760545,409,23,58,12,128,paper,4,0,3356806661,13233.65211335284,1827.0067922500011
3600.006264772266,'(31.625669479370 + (0.864199280739 * (((0.638605713844 * x3) - ((-0.981364369392) * x2)) + ((((1.364749193192 * x4) + ((0.078973561525 * x5) ^ 2)) * (log(((0.200661703944 * x4) ^ (4.930734634399 - ((1.042752265930 * x1) / (sqrt(log((((-0.820246338844) * x1) ^ 2))) + cos((0.134797707200 * x7))))))) + ((-0.553979873657) * x6))) / ((-0.981364369392) * x2)))))',5.99250185520893,5.992499351501465,376367123,409,6,58,12,128,paper,4,0,2995172877,1059.3181501602746,59302.23392024999
3600.0056021511555,'(0.000010204130 + ((-0.383221417665) * (((-2.609457731247) * x5) - ((2.609457254410 * x6) + (2.609457254410 * x4)))))',2.3255170784543422e-11,6.62363053294257e-10,930295180,409,27,58,12,128,paper,4,0,2342600226,7.0936073572812474e-12,2921.5646522500006
3600.0101631470025,'((-0.000019717594) + (0.280695170164 * ((((-1.401455163956) * x6) - ((-3.562583208084) * x4)) + ((4.964039325714 * x6) - ((-3.562583208084) * x5)))))',1.9899836700623462e-10,6.62363053294257e-10,824604717,409,8,58,12,128,paper,4,0,404488628,2.0120492165966137e-10,515.7895209999992
3600.010143134743,'((-0.000019303963) + (1.438249230385 * (((0.695289731026 * x6) - ((-0.695290088654) * x4)) - ((-0.695289850235) * x5))))',1.1151382803228808e-10,1.0356949742273967e-09,928955472,409,7,58,12,128,paper,4,0,865305066,3.556831719396026e-11,2804.81456025
3600.005753647536,'(0.000003925054 + ((-0.695311188698) * (((-1.438204765320) * x5) - ((1.438205122948 * x6) + (1.438205122948 * x4)))))',1.525824672118266e-10,2.2881632699700558e-10,914732217,409,29,58,12,128,paper,4,0,1934709049,1.0104616083898183e-10,793.7742759999995
