generation,total_time_seconds,evaluations,mse_train,r2_train,mse_test,r2_test,size,structure,problem,run,version
0,1.14708,128,0.0283807,-0.877541,0.0282407,-0.844629,11,sqrt((x2/((exp(x6)+x3)+sqrt(log(x7))))),feynman_I_9_18,13,GP-GOMEA (original)
1,64.0907,5524,0.00953896,0.368945,0.00963393,0.37073,34,((exp(sin(sin(x0)))+sin(cos(exp(cos(x2)))))/((sqrt(sqrt(x3))+(cos(sin(x2))+log((x5*x3))))/(sqrt((x4+x0))/(sqrt(sin(x2))*x7)))),feynman_I_9_18,13,GP-GOMEA (original)
2,122.718,11289,0.00536263,0.645233,0.0054537,0.643774,28,sqrt((((((x0*x0)*(x4*x4))+log(log(x1)))/((x8+(-7.097000/x1))*((x4+x5)*(x7+x8))))*x2)),feynman_I_9_18,13,GP-GOMEA (original)
3,186.138,17476,0.00321932,0.787024,0.00325605,0.787321,43,((sqrt(sqrt((exp(x8)*(x3*x8))))+sqrt((exp((-4.879000/x8))+x0)))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin(log(x6))+(cos(x3)-sqrt(x8)))))),feynman_I_9_18,13,GP-GOMEA (original)
4,256.387,24273,0.00321932,0.787024,0.00325605,0.787321,43,((sqrt(sqrt((exp(x8)*(x3*x8))))+sqrt((exp((-4.879000/x8))+x0)))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin(log(x6))+(cos(x3)-sqrt(x8)))))),feynman_I_9_18,13,GP-GOMEA (original)
5,329.303,31507,0.0030091,0.800931,0.00304365,0.801195,46,((sqrt(sqrt((exp(x8)*(x3*x8))))+sqrt((exp((-4.879000/x8))+(sin(x8)*x8))))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin(log(x6))+(cos(x3)-sin(x8)))))),feynman_I_9_18,13,GP-GOMEA (original)
6,410.105,39219,0.00287927,0.809521,0.0028869,0.811433,47,((sqrt(sqrt((exp(x8)*(x3*x8))))+sqrt((exp((-4.879000/x0))+(sin(x8)*x8))))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin((x6+4.881000))+(cos(x3)-sin(x8)))))),feynman_I_9_18,13,GP-GOMEA (original)
7,496.533,47126,0.00282655,0.813008,0.00283518,0.814811,47,((sqrt(sqrt((exp(x8)*(x3*x8))))+sqrt((exp((-4.879000/x3))+(sin(x8)*x8))))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin((x6+4.881000))+(cos(x3)-sin(x8)))))),feynman_I_9_18,13,GP-GOMEA (original)
8,579.345,54626,0.0026232,0.826461,0.00262456,0.828569,47,((sqrt(sqrt((exp(x8)*(x3*x6))))+sqrt((exp((-4.879000+x3))+(sin(x8)*x8))))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin((x6+4.881000))+(cos(x3)-sin(x1)))))),feynman_I_9_18,13,GP-GOMEA (original)
9,669.21,62731,0.0026232,0.826461,0.00262456,0.828569,47,((sqrt(sqrt((exp(x8)*(x3*x6))))+sqrt((exp((-4.879000+x3))+(sin(x8)*x8))))/((exp(((x3-x4)/x2))*(sqrt(x7)/log((x1*x0))))-(x4*(sin((x6+4.881000))+(cos(x3)-sin(x1)))))),feynman_I_9_18,13,GP-GOMEA (original)
