total_time_seconds,expression,mse,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
60.00031020306051,'x4 + x5 + x6 + 4.12382e-10',9.634371078703907e-11,409,0,58,12,128,paper,4,0,3324115916
60.00174328498542,'x4 + x4/(69150.7*5.48976e+9**(cos(x2**2)/2) + 138301.0*x4 + 138301.0*x5 + 69150.7*log(x10**2)) + x5 + x6',8.028643028179516e-11,409,1,58,12,128,paper,4,0,2811363264
60.003041860996746,'x4 + x5 + x6 + 6.04419e-6*cos(x10) + 5.56797e-6*cos(x6/((x10*cos(x10)/(x4*x5) + x5)*cos(x10)))',4.415753526720856e-11,409,2,58,12,128,paper,4,0,1884968544
60.000843077898026,'0.00323617*x0/(cos(sqrt(x2))*cos(x9)) + x1 + x2 + x3 + x4/((exp(x0) + log(x8)**2)*cos(sqrt(x9)))',43.78458786010742,409,3,58,12,128,paper,4,0,1859786275
60.001665772055276,'sqrt(-563.495*x0 - 2*sqrt(3)*x2**(3/2) + x5**2 + (x2 + x3)**2 + 2262.61)',199.80734252929688,409,4,58,12,128,paper,4,0,3687649985
60.00261635193601,'x2 + x3 + x5/(x2/x5 + exp(x2/x5) + exp(sqrt(x5) - x7 + cos(sqrt(x5))) + sin(sin(cos(sqrt(x5)))))',40.22304153442383,409,5,58,12,128,paper,4,0,369133708
60.001856232993305,'x4 + 1.22608e-5*x4/(x1*x7/(x0 + x5 - 115.339) + x4 + x5) + x5 + x6',7.627210668603723e-11,409,6,58,12,128,paper,4,0,2995172877
60.00021871202625,'x2 + x3 + sin(x3) + cos(x1) + cos(x7) + x5**2*exp(cos(x1**2))/(x4*log(x3 + log(x7)**2)**2)',54.111385345458984,409,7,58,12,128,paper,4,0,865305066
60.001725943991914,'x2 + x3 + 0.0269165*x5 + log(x7 + (x5**log(x5))**sin(x5**x0)) + cos(x1) + 2*x5/x4',371.296875,409,8,58,12,128,paper,4,0,404488628
60.000765727018006,'sqrt(6*x5 + (x2 + x3)**2 + 3859.49)',534.70361328125,409,9,58,12,128,paper,4,0,2261209995
