total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.0055900625885,'((-0.750729203224) + (2723.241699218750 * (((0.116486519575 * x5) + sin(((-0.364545851946) * x5))) / ((3.017229557037 * x2) + ((((((0.017491333187 * x4) / ((0.659883558750 * x6) ^ 2)) ^ 2) * (1.070492863655 * x0)) * sqrt(exp(cos((0.998698592186 * x0))))) - (((-2.759909152985) * x5) - (0.157218128443 * x3)))))))',6.714247710315749,6.71424674987793,298140660,9,18,384,7,128,paper,4,0,1934392872
3600.005850881338,'((-1.082550764084) + ((-0.436879038811) * log((((log(((0.707356035709 * x3) / (8.503414154053 * x5))) / 4.075262069702) ^ 2) ^ (sin((0.566268503666 * x5)) - (sqrt((0.644086360931 * x2)) + ((-0.382556319237) * x5)))))))',7.3290182367399614,7.104541778564453,186098512,9,10,384,7,128,paper,4,0,4190266092
3600.005984790623,'(1.129543304443 + (15.207739830017 * ((((((-1.043315052986) * x5) ^ 2) * sqrt(sqrt((sqrt((0.707106769085 ^ ((-0.012550748885) * x2))) ^ ((0.693147182465 * x6) * cos(((-1.420694231987) * x5))))))) + (exp(((0.596344709396 * x4) ^ (0.009282827377 * x5))) * (0.693147182465 * x6))) * (((0.009282827377 * x5) ^ ((0.021422998980 * x5) ^ 2)) / ((2.302585124969 * x5) + (0.584830820560 * x3))))))',6.729296151780088,6.729297161102295,94021711,9,8,384,7,128,paper,4,0,404488628
3600.0072570107877,'((-31.328632354736) + (3.020610332489 * (((((0.006826657336 * x3) / (((0.116435281932 * x2) - sin((2.926060438156 * x5))) - ((1.336367487907 * x6) - sin(((7.790069580078 * x1) + ((2.135264396667 * x2) ^ 2)))))) + (0.655178904533 * x5)) + ((cos(((-0.542921423912) * x5)) + (cos((0.011703330092 * x3)) ^ 2)) ^ 2)) / log((0.006826657336 * x3)))))',5.970879734671599,5.970823764801025,228149131,9,0,384,7,128,paper,4,0,3324115916
3600.006683021784,'((-6.028540134430) + ((-1.983193278313) * (((((-0.318440765142) * x5) / ((0.138669520617 * x2) ^ (((-3.002803087234) * x5) / (0.418803960085 * x3)))) + ((((16.876960754395 * x3) ^ ((0.346156179905 * x1) ^ ((-0.907316505909) * x0))) + sin((0.356804370880 * x5))) ^ 2)) / log(((0.142227724195 * x2) - cos(((-2.280064105988) * x5)))))))',6.617112607073395,6.617112636566162,91244666,9,14,384,7,128,paper,4,0,3376120482
3600.006512582302,'(4.488566875458 + (5302.728027343750 * (sqrt(exp(exp(cos(sin(exp((sin(((-0.163340792060) * x5)) - 0.213647723198))))))) / ((2.476006507874 * x2) - ((((-1.135849356651) * x0) - (((-0.858696103096) * x6) / (((exp(((-0.460631906986) * log((0.156843557954 * x2)))) / ((-0.425261497498) * x1)) / cos((0.710888624191 * x5))) ^ 2))) - (0.156843557954 * x3))))))',6.308770660005607,6.308773040771484,218469897,9,15,384,7,128,paper,4,0,2204291346
3600.0064855255187,'(1.417533516884 + (2.895149707794 * ((((log((0.297475039959 * x2)) / (-0.296669811010)) - (cos(exp(cos(((-0.628559231758) * x5)))) + ((-0.568249702454) * x5))) ^ 2) / (((-0.467155516148) * (cos(sin((sin((2.320779561996 * x1)) - (2.073337078094 * x1)))) * ((-0.117055825889) * x3))) - (((-0.634072542191) * x5) + (2.611508369446 * x6))))))',6.627722472321434,6.627719879150391,241211045,9,17,384,7,128,paper,4,0,3606691181
3600.0057411901653,'(156.263916015625 + ((-155.871917724609) * (((0.031398408115 * x5) ^ ((0.114378705621 * x4) - (((-0.110436163843) * x5) + sin((((exp(((1.756481647491 * x6) ^ 2)) + (0.133682638407 * x4)) + (0.114378705621 * x4)) / (-1.598284482956)))))) ^ ((((-0.212191149592) * x5) + cos((((-0.819218397141) * x5) ^ 2))) / (0.318309873343 * x3)))))',7.605234767433221,6.961862087249756,115043520,9,19,384,7,128,paper,4,0,2148995112
3600.006864413619,'(7.042554855347 + ((-1.809776782990) * (((((-0.493379861116) * x5) + sqrt((((0.127451181412 * x2) * ((-0.173589587212) * x2)) / ((-3.417912721634) * x6)))) * ((((-0.432382613420) * x5) + (cos((0.587454438210 * x5)) - cos(((-1.425766229630) * x5)))) ^ 2)) / (exp((exp(cos(exp((1.075669288635 * x1)))) ^ 2)) + (1.357200145721 * x3)))))',6.600970982373467,6.600967884063721,266246870,9,9,384,7,128,paper,4,0,2261209995
3600.00565815717,'((-15.292240142822) + (5.253611564636 * ((0.373258650303 * x5) - log(((((0.631068468094 * x3) ^ (0.037473976612 * x5)) / ((0.037473976612 * x5) - sin(cos((0.421536922455 * x5))))) / exp(cos(log(sqrt((sqrt(((0.045867070556 * x0) / (0.373472869396 * x6))) * ((0.634026229382 * x2) - (0.373258650303 * x5))))))))))))',7.1242382708043195,7.124240398406982,168934548,9,13,384,7,128,paper,4,0,3081541439
