total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.0128294974566,'(4.354809284210 + (6.298463821411 * ((((log((0.352306246758 * x2)) / (-0.296424210072)) - (cos(exp(cos(((-0.628559231758) * x5)))) + ((-0.509424924850) * x5))) ^ 2) / (((-0.159683004022) * ((-0.362967133522) * x3)) - (((-0.651082038879) * x5) + ((-0.191911131144) * x0))))))',7.1052698785154265,7.1052680015563965,147558679,9,17,384,7,128,paper,4,0,3606691181
3600.0117162689567,'((-826.159973144531) + (113.995239257812 * (((log((0.068257257342 * x3)) + ((0.180462121964 * x5) * 0.429143667221)) / log(log((0.154775336385 * x5)))) / log((log((0.068257257342 * x3)) + ((sin(((-1.400651216507) * x5)) / ((-1.451584458351) * x5)) * (0.790046215057 * x6)))))))',7.572173755511176,7.572160243988037,110285018,9,0,384,7,128,paper,6,0,3324115916
3600.007735826075,'(124.160255432129 + ((-128.195663452148) * (log(((((-1.123891234398) * x5) + ((-1.503721475601) * x4)) + ((10.049563407898 ^ 2) + (0.023300906643 * x3)))) / log((((2.319287538528 * x5) + ((-4.647082805634) * x4)) + (0.023362504318 * x3))))))',8.265067152524855,8.26506519317627,147856725,9,26,384,7,128,paper,6,0,3533734220
3600.00997582078,'(16.450056076050 + (0.001960362308 * ((((-23.326992034912) * x3) - (((((-7.110843658447) * x6) + ((-1.575578451157) * x5)) ^ 2) * ((-0.074392199516) * x5))) / (((sin((0.692801117897 * x5)) - ((-1.233491778374) * x2)) + ((-1.151499390602) * x2)) - ((-1.103712916374) * x6)))))',7.032908878174996,7.032905101776123,175727154,9,16,384,7,128,paper,4,0,550243861
3600.011851452291,'(13.276299476624 + (0.013563805260 * (((sqrt((0.452408760786 * x3)) - ((0.573070764542 * x5) - cos((0.670557141304 * x5)))) - (((0.255903005600 * x1) - (sin(((-1.785059809685) * x2)) / ((-0.013700591400) * x2))) - ((-0.942665278912) * x6))) * ((0.434294492006 * x2) - ((1.466841816902 * x5) - exp((2.430253505707 * cos((2.409385442734 * x5)))))))))',6.403326070843221,6.403326511383057,107241663,9,29,384,7,128,paper,6,0,1934709049
3600.0194081813097,'((-2.155079126358) + ((-4592.535644531250) * ((cos(sqrt(exp((1.017466664314 * x5)))) + exp((0.036662265658 * x5))) / (((-5.546182632446) * x2) - ((0.707106769085 * x3) - ((-5.805948257446) * x5))))))',9.542516982949346,6.867378234863281,175892574,9,13,384,7,256,paper,4,0,3081541439
3600.016709089279,'(3.011564970016 + ((-57.633083343506) * ((((sqrt(exp(sin((2.225682020187 * x5)))) - sin(((-0.486752748489) * x5))) + (0.292809039354 * x5)) ^ 2) / (((((1.896909475327 * x0) + ((((-7.275000572205) * x0) / (2.699133396149 * x6)) - (36.477581024170 * x6))) - (36.536151885986 * x6)) - (0.353606522083 * x3)) - (4.273220062256 * x2)))))',6.45815158524377,6.458151340484619,154485650,9,25,384,7,128,paper,4,0,1728356533
3600.009533908218,'((-1.814700365067) + (37.789188385010 * (((((1.593566536903 * x6) ^ cos((1.339368820190 * x5))) + (0.458696126938 * x5)) / ((0.217151492834 * x3) + ((log(((((0.342053264380 * x0) - ((-0.777898788452) * x2)) ^ 2) ^ 2)) ^ 2.060610055923) - ((-1.082435965538) * x2)))) * ((0.277481853962 * x5) + cos(((-0.546143949032) * x5))))))',6.635001587371882,6.635000705718994,84699005,9,9,384,7,256,paper,4,0,2261209995
3600.0118604898453,'(8.566284179688 + ((-0.025349112228) * (((52.058525085449 * x3) - (((((2.557429790497 * x3) * ((-2.223617076874) * x4)) / ((-2.006465911865) * x6)) + (((0.947656571865 * x3) ^ 2) / 45.626491546631)) - (((1.007973790169 * x5) - (sin(((-0.654406547546) * x5)) + cos((((-0.115674570203) * x5) * ((-1.803990960121) * x5))))) ^ 3.141592741013))) / (((-0.271668523550) * x3) - (5.329240798950 * x2)))))',6.847745680707212,6.847736835479736,96155086,9,28,384,7,128,paper,4,0,1904449481
3600.0262099318206,'(12.389692306519 + (0.004264472052 * (((((((sin((2.225003242493 * x5)) - (((0.131264537573 * x6) ^ cos((0.145061314106 * x4))) - cos(((-1.339919328690) * x5)))) - sin((0.607347905636 * x5))) + (1.216401100159 * x5)) ^ 2) + ((-1.589833140373) * x3)) * (((-2.311078071594) * x4) - (1.904700040817 * x5))) / ((((-1.019178748131) * x5) - (6.103919506073 * x1)) + ((-1.534680604935) * x2)))))',6.311189917595868,6.3111891746521,98278272,9,3,384,7,256,paper,4,0,1859786275
