total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed
3600.0149393752217,'(0.000008086814 + (0.561849057674 * (((1.779837727547 * x6) - ((-1.779837250710) * x5)) - ((-1.779837250710) * x4))))',1.4781555450573501e-10,3.733318931775642e-10,491494646,409,26,58,12,256,paper,4,0,3533734220
3600.0171663612127,'(0.000017031585 + ((-0.697691977024) * (((-1.433297395706) * x6) - ((1.433296203613 * x4) - ((-1.433297395706) * x5)))))',1.7382761779472047e-10,5.379190981535942e-10,487608281,409,12,58,12,256,paper,4,0,3269070126
3600.0103842280805,'(0.000005193086 + (0.434294462204 * ((2.302585124969 * x4) + ((2.302585124969 * x6) + (2.302585124969 * x5)))))',2.630535768953399e-11,5.058045093875307e-10,486005115,409,20,58,12,256,paper,4,0,1592565386
3600.0144739076495,'(0.000037299968 + (0.434299170971 * (((2.302560567856 * x5) - ((-2.302557468414) * x4)) + (2.302560567856 * x6))))',5.494385629669024e-10,6.503200755680894e-10,488583017,409,22,58,12,256,paper,4,0,3980425317
3600.010978266597,'(6.837244987488 + (0.305589675903 * ((3.279552936554 * x2) + (((sin(sin((((-0.637384533882) / (0.015901550651 * x1)) / (-0.571415841579)))) + ((0.015901550651 * x1) ^ (((-0.057923428714) * x8) / ((-0.858657181263) * x9)))) / cos(log((0.083077035844 * x4)))) - ((-3.229680061340) * x3)))))',40.94136611958169,40.941280364990234,231478260,409,23,58,12,128,paper,4,0,3356806661
3600.007468674332,'(0.000003925054 + ((-0.695311188698) * (((-1.438204765320) * x5) - ((1.438205122948 * x6) + (1.438205122948 * x4)))))',1.525824672118266e-10,2.288163269970056e-10,482142747,409,29,58,12,128,paper,4,0,1934709049
3600.0108542516828,'((-0.000003908787) + (1.442695021629 * ((0.693147182465 * x5) + ((0.693147182465 * x6) + (0.693147182465 * x4)))))',5.139912315924197e-11,1.4050124952369458e-10,497499007,409,1,58,12,128,paper,4,0,2811363264
3600.010359596461,'(0.000015791862 + (0.434294402599 * (((2.302586317062 * x4) + (2.302585124969 * x5)) + (2.302585124969 * x6))))',2.2635851557238552e-10,1.216339362564156e-09,494674846,409,1,58,12,256,paper,4,0,2811363264
3600.0164280608296,'((-0.000051945135) + (2.642976999283 * (((0.378361523151 * x4) - ((-0.378361195326) * x6)) - ((-0.378361195326) * x5))))',8.740273548483611e-10,4.576326539940112e-10,497489767,409,25,58,12,128,paper,4,0,1728356533
3600.0152419023216,'((-1.014972925186) + (0.707106590271 * (((((0.378585517406 * x4) + 0.654317378998) * 1.772453904152) + (((0.158185809851 * x6) * 1.936120510101) + ((0.158185809851 * x6) * 2.346704244614))) + ((((0.158185809851 * x6) * 2.346388816833) + ((1.414213538170 * x5) + (cos(exp((((-0.042804405093) * x4) / (2.970531940460 * (6.283185482025 * x6))))) / 1.963045597076))) + (((0.158185809851 * x6) * 2.311015129089) + ((0.378585517406 * x4) * 1.963045597076))))))',1.6368616869584643e-09,1.910817060135628e-09,157759258,409,4,58,12,128,paper,6,0,3687649985
