status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.002916356,0.00100271,0.001913646,5849,"[18,9,19,10,8,1,7,14,12,7,14,4,20,0,10,10,8,19,4,1,22,3,2,6,6,0,15,10,1,13,5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1890.44,2424.03,1582.71,2862.51,2804.01,3475.19,-185.17,2052.41,-3004.15,2112,-943.187,-1295.37,-1864.37,-676.42,-4233.35,-2932.51,-1343.89,-1121.36,2620.11,-911.139,-1919.85,-2446.45,4851.84,2404.3,-5116.75,4423.6,2158.96,-120.752,992.017,-3884.56,957.636]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1890.4431081922494",1.22498e+06,"[1.22498e+06]",0
Running,1049,0,0.009246462,0.004927457,0.004319005,5849,"[18,9,19,10,8,1,7,14,12,7,14,4,20,0,10,10,8,19,4,1,22,3,2,6,6,0,15,10,1,13,5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1890.44,2424.03,1582.71,2862.51,2804.01,3475.19,-185.17,2052.41,-3004.15,2112,-943.187,-1295.37,-1864.37,-676.42,-4233.35,-2932.51,-1343.89,-1121.36,2620.11,-911.139,-1919.85,-2446.45,4851.84,2404.3,-5116.75,4423.6,2158.96,-120.752,992.017,-3884.56,957.636]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1890.4431081922494",1.22498e+06,"[1.22498e+06]",0
Running,2145,0,0.014632961,0.005544729,0.009088232,5849,"[18,9,19,10,8,1,7,14,12,7,14,4,20,0,10,10,8,19,4,1,22,3,2,6,6,0,15,10,1,13,5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1890.44,2424.03,1582.71,2862.51,2804.01,3475.19,-185.17,2052.41,-3004.15,2112,-943.187,-1295.37,-1864.37,-676.42,-4233.35,-2932.51,-1343.89,-1121.36,2620.11,-911.139,-1919.85,-2446.45,4851.84,2404.3,-5116.75,4423.6,2158.96,-120.752,992.017,-3884.56,957.636]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1890.4431081922494",1.22498e+06,"[1.22498e+06]",0
Running,4369,0,0.02550747,0.007152847,0.018354623,5849,"[18,9,19,10,8,1,7,14,12,7,14,4,20,0,10,10,8,19,4,1,22,3,2,6,6,0,15,10,1,13,5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1890.44,2424.03,1582.71,2862.51,2804.01,3475.19,-185.17,2052.41,-3004.15,2112,-943.187,-1295.37,-1864.37,-676.42,-4233.35,-2932.51,-1343.89,-1121.36,2620.11,-911.139,-1919.85,-2446.45,4851.84,2404.3,-5116.75,4423.6,2158.96,-120.752,992.017,-3884.56,957.636]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1890.4431081922494",1.22498e+06,"[1.22498e+06]",0
Running,8768,0,0.047465862,0.011109475,0.036356387,5849,"[19,19,22,10,13,20,9,9,9,17,15,19,21,13,8,5,8,21,21,19,10,5,10,16,8,18,10,17,1,9,9]","[1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0]","[1738.78,-1391.27,1508.36,-1401.44,-1433.85,-1853.12,1057.2,4161.5,-3597.38,-3535.15,4437.91,-2377.59,-944.475,-4804.86,1743.48,1920.22,4530.72,1322.82,1844.86,-136.174,-1710.84,-3907.58,-515.71,3229.97,-3565.38,510.634,-5132.24,-4031.29,4613.62,4639.23,3143.84]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]","(((510.63447770490166 * x10) + ((x16 + x8) * x10)) + (x10/x13))",1.12168e+06,"[1.12168e+06]",0
Running,9570,1,0.059669972,0.013870088,0.045799884,5849,"[19,19,22,20,15,13,19,1,12,1,4,19,21,13,11,5,1,21,21,18,10,2,10,16,10,22,15,6,1,17,13]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1]","[-2752.46,1083.44,636.264,97.6614,2423.25,-2992.69,5059.11,4306.09,-4563.22,2019.91,-2576.95,2611.05,-2281.61,-1530.59,-600.342,-2554,-4105.31,1936.18,4441.48,558.501,4437.18,-1494.81,-1068.59,3491.54,856.36,3393.38,-4349.85,4184.46,-437.791,-4835.95,4921.41]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","((((x17/x13) * x15) + (558.5009257473212 * x10)) + (((x5 + x1) - (x13 * x11))/x15))",1.08561e+06,"[1.08561e+06]",0
Running,17562,1,0.096838811,0.019316817,0.077521994,5849,"[21,21,22,19,9,22,22,4,12,16,15,19,10,1,8,0,4,22,19,18,21,16,7,16,0,9,16,3,1,14,8]","[1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0]","[51.8903,2838.34,-174.688,183.364,2262.86,3112.97,4241.43,-3019.05,-4789.18,-81.8897,-2850.23,-4109.16,-157,-3111.8,-1703.14,1558.3,1853.87,1771.07,-4815.11,3972.61,-5055.08,-4309.51,-2506.94,343.937,-3835.92,-360.899,4701.55,-4644.39,5140.32,-3928.95,-3372.7]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","(((x9/x16) * (3972.608777968064 + (x16 * x7))) * (((x0 + x4) + x10)/x9))",1.02792e+06,"[1.02792e+06]",0
Running,18395,2,0.108418564,0.021678665,0.086739899,5849,"[21,21,22,19,9,22,22,4,12,16,15,19,10,1,8,0,4,22,19,18,20,16,7,16,0,9,16,3,1,14,8]","[1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0]","[3051.47,1645.29,-1661.98,3678.01,-4624.52,2694.04,-218.43,3252.52,621.448,-471.439,-2549.11,-1704.76,2941.88,461.059,-1737.67,542.409,-3126.2,3565.81,-3801.61,4042.29,680.191,-1766.1,-3538.48,-2176.71,802.635,-1888.04,-3352.42,4548.91,2838.51,1060.09,2518.25]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","(((x9/x16) * (4042.2941070490033 + (x16 - x7))) * (((x0 + x4) + x10)/x9))",1.02702e+06,"[1.02702e+06]",0
Running,35331,3,0.186166792,0.029256242,0.15691055,5849,"[21,21,22,19,9,22,22,4,0,16,15,19,10,1,8,0,5,22,19,18,21,16,17,16,17,9,16,3,1,14,8]","[1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0]","[3790.07,-2006.33,2618.79,-4483.95,5061.97,-1247.55,-784.203,85.5087,2337.16,1507.98,3246.12,-3770.6,-3198.58,-2524.21,-3375.33,2533.87,-4413.58,-4292.52,4254.65,4535.48,2776,-4422.87,-2905.57,-130.42,1676.4,-1118.34,-1925.9,-60.1219,1040.23,4206.81,2315.14]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","(((x9/x16) * (4535.481250006191 + (x16 * x17))) * (((x0 + x5) + x10)/x9))",953344,"[953344]",0
Running,49799,4,0.252504938,0.0355868,0.216918138,5849,"[21,21,22,19,9,13,22,4,12,16,15,19,10,1,4,0,5,22,19,18,21,15,17,16,16,9,16,6,1,16,14]","[1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0]","[3051.47,1645.29,-1661.98,3678.01,-4624.52,2694.04,-218.43,3252.52,621.448,-471.439,-2549.11,-1704.76,2941.88,461.059,-1737.67,542.409,-3126.2,3565.81,-3801.61,4042.29,680.191,-1766.1,-3538.48,-2176.71,802.635,-1888.04,-3352.42,4548.91,2838.51,1060.09,2518.25]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","(((x9/x16) * (4042.2941070490033 + (x15 * x17))) * (((x0 + x5) + x10)/x9))",944584,"[944584]",0
