status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.004285695,0.00101272,0.003272975,42897,"[18,6,18,13,0,0,7,9,18,2,18,15,4,1,10,6,11,12,20,21,10,5,13,15,6,19,4,3,2,13,2]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1674.13,2691.74,390.052,-4445.93,5076.14,-5212.85,877.924,621.882,-4296.11,2292.41,-3035.12,2318.04,-3149.8,4819.96,3788.71,-2244.84,4189.88,1396.03,-2370.99,14.9671,112.279,-2133.12,-242.211,3463.23,-3158.55,-1289.01,-2000.55,5369.77,613.101,-5435.17,-1225.5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1674.1265452829784",1.27269e+06,"[1.27269e+06]",0
Running,1050,0,0.012076996999999999,0.004096226,0.007980771,42897,"[21,4,19,19,19,19,1,11,11,17,16,0,18,16,18,18,16,19,21,21,20,14,2,13,11,13,14,8,4,16,4]","[1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1031.66,3178.05,4630.7,-1698.24,-4161.77,5132.48,-92.5101,5115.72,-1448.61,-326.489,-1272.72,2060.73,1875.99,-5062.78,-3854.16,3855.68,4935.71,903.186,-3692.07,-4968.46,-1267.41,1149.85,3642.55,5056.65,5015.07,-3254.12,12.5273,2567.73,1760.29,4898.18,2743.77]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x4 * ((x0 + 1875.9871909551675) + ((x17 + x16) + x1)))",1.27098e+06,"[1.27098e+06]",0
Running,2203,0,0.021558644000000002,0.004545778,0.017012866,42897,"[19,20,19,21,19,20,21,13,4,15,7,20,20,4,16,16,5,19,20,19,21,10,1,5,8,21,19,18,18,3,7]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x3 * x7) + (-3009.625410795329 + 4555.526580691903)) - ((x5 + x8) - (x10 * x1))) + (((x16 - x5) * (x4 - x16)) + ((x15 - x7) + (x13 * x4))))",1.19236e+06,"[1.19236e+06]",0
Running,4496,0,0.038498835,0.005639285,0.03285955,42897,"[19,20,19,21,19,20,21,13,4,15,7,20,20,4,16,16,0,19,20,19,21,10,1,5,8,21,19,18,18,3,7]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x3 * x7) + (-3009.625410795329 + 4555.526580691903)) - ((x5 + x8) - (x10 * x1))) + (((x16 - x0) * (x4 - x16)) + ((x15 - x7) + (x13 * x4))))",1.1912e+06,"[1.1912e+06]",0
Running,9059,0,0.069153637,0.008203601,0.060950036,42897,"[19,20,19,21,19,20,21,13,4,15,7,20,20,5,16,10,0,19,20,19,21,10,1,6,8,21,19,18,18,3,7]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x3 * x7) + (-3009.625410795329 + 4555.526580691903)) - ((x6 + x8) - (x10 * x1))) + (((x10 - x0) * (x5 - x16)) + ((x15 - x7) + (x13 * x4))))",1.18917e+06,"[1.18917e+06]",0
Running,10595,1,0.082509165,0.010753456,0.071755709,42897,"[19,20,19,21,19,20,21,13,17,15,7,19,5,5,16,10,0,19,20,19,21,10,1,6,8,21,19,18,18,14,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x14 * x0) + (-3009.625410795329 + 4555.526580691903)) - ((x6 + x8) - (x10 * x1))) + (((x10 + x0) * x5) + ((x15 - x7) + (x13 * x17))))",1.14199e+06,"[1.14199e+06]",0
Running,18262,1,0.137380531,0.014901361,0.12247917,42897,"[19,20,19,21,19,20,21,13,17,15,7,19,5,5,8,10,14,19,20,19,0,14,6,6,11,21,19,18,18,15,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x15 * x0) + (-3009.625410795329 + 4555.526580691903)) - ((x6 + x11) - x0)) + (((x10 + x14) * x5) + ((x15 - x7) + (x13 * x17))))",1.09001e+06,"[1.09001e+06]",0
Running,21756,2,0.164708716,0.018384642,0.146324074,42897,"[19,20,19,21,19,20,21,13,17,15,7,19,5,5,8,10,9,19,20,19,0,14,6,6,15,21,19,18,18,15,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x15 * x0) + (-3009.625410795329 + 4555.526580691903)) - ((x6 + x15) - x0)) + (((x10 + x9) * x5) + ((x15 - x7) + (x13 * x17))))",1.07038e+06,"[1.07038e+06]",0
Running,36705,2,0.273244145,0.023708343,0.249535802,42897,"[19,20,19,21,19,20,21,13,0,15,7,9,5,5,15,1,14,19,20,19,21,14,6,11,15,21,19,18,18,15,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x15 * x0) + (-3009.625410795329 + 4555.526580691903)) - ((x11 + x15) - (x14 * x6))) + ((x9 * x5) + ((x15 - x7) + (x13 * x0))))",1.03929e+06,"[1.03929e+06]",0
Running,55848,4,0.417672832,0.032502709,0.385170123,42897,"[19,20,19,21,19,19,21,15,0,15,7,19,5,5,15,15,14,19,20,19,21,13,0,11,15,21,19,18,18,14,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1608.09,-1347.27,-5389.12,-3195.2,-4913.83,4546.72,-141.885,638.962,-1787.35,-408.29,-981.472,1452.74,-3304.68,-2225.94,-2133.72,-872.758,4219.06,-565.754,4410,-1521.22,-654.948,3009.7,-1326,5036.64,-4893.66,1257.91,-3683.86,-3009.63,4555.53,-55.5252,2117.12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]","((((x14 * x0) + (-3009.625410795329 + 4555.526580691903)) - ((x11 + x15) - (x13 * x0))) + (((x15 + x14) * x5) + ((x15 + x7) + (x15 * x0))))",1.01348e+06,"[1.01348e+06]",0
