status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.00105009,0.000735073,0.000315017,28378,"[19,20,20,20,19,20,19,5,10,16,8,21,21,5,4,18,4,20,19,19,20,16,7,2,16,21,20,4,11,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1394.45,-1215.04,1303,391.325,3402.67,-250.873,-63.1141,1196.68,-2156.57,3035.32,-983.283,1456.31,3067.27,-1563.8,-2561.03,2131.07,1591.59,1817.7,-2060.6,-1766.34,-1792.8,-150.387,-1881.61,-3110.85,-2701.34,-877.342,3465.8,-2040.52,483.35,-3357.41,-761.693]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x0 * x1) - (x4 - x11)) - ((x2 + x16) + (x16 - x7))) + (((2131.0733345755116 * x4) - (x5 * x4)) - ((x16 - x8) + (x5 + x10))))",1.1482e+06,"[1.1482e+06]",0
Running,1055,0,0.004505338,0.003749987,0.000755351,28378,"[19,20,20,20,19,20,19,5,10,16,5,21,21,7,4,18,4,20,19,19,20,16,7,2,16,21,20,4,11,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1394.45,-1215.04,1303,391.325,3402.67,-250.873,-63.1141,1196.68,-2156.57,3035.32,-983.283,1456.31,3067.27,-1563.8,-2561.03,2131.07,1591.59,1817.7,-2060.6,-1766.34,-1792.8,-150.387,-1881.61,-3110.85,-2701.34,-877.342,3465.8,-2040.52,483.35,-3357.41,-761.693]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x0 * x1) - (x4 - x11)) - ((x2 + x16) + (x16 - x7))) + (((2131.0733345755116 * x4) - (x7 * x4)) - ((x16 - x5) + (x5 + x10))))",1.1466e+06,"[1.1466e+06]",0
Running,2245,0,0.005891276,0.004202343,0.001688933,28378,"[20,20,22,20,16,22,19,11,3,17,12,20,20,10,9,14,11,22,19,19,20,17,10,18,5,19,20,10,14,9,14]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-601.838,1040.49,2698.84,1667.64,1113.53,-648.208,2343.19,2439.82,-62.7932,-1676.77,-2612.73,-1398.08,-359.793,-797.351,333.3,-2458.43,3245.39,2376.79,-1501.06,-3071.27,3509.34,-2499.3,-2349.78,-1714.52,-2826.49,-668.607,988.459,-392.958,-2451.64,-2511.03,1644.46]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]","((((x9 + x14)/(x10 - x14)) - ((-1714.5181668457312 + x5) + (x17 - x10))) - (((x14 - x11) - (x10 - x9))/x16))",1.00015e+06,"[1.00015e+06]",0
Running,4658,0,0.008802121,0.00529728,0.003504841,28378,"[20,22,20,20,22,21,19,3,4,11,3,22,19,6,10,18,4,5,21,22,19,0,6,13,2,22,22,10,10,1,14]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0]","[3027.66,1323.68,-3273.36,-1903.18,-2934.42,180.538,2019.68,1726.51,2948.55,1584.37,1417.05,-2548.66,1534.78,-1979.47,2761.8,-1740.85,-600.867,-696.373,414.164,-350.132,-409.96,1274.73,3120.91,3310.74,1943.53,409.869,1394.04,2386.67,-3464.5,-2906.02,-1714.35]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((x5/((x13/x2) * (x0 + x6))) - (((-1740.8489456972743/x4) - (x6 + x10)) - ((x11 * x3)/(x3 + x4))))",972769,"[972769]",0
Running,9383,0,0.014551228999999999,0.007589568,0.006961661,28378,"[20,21,20,20,20,7,19,9,4,5,17,19,18,1,15,3,2,21,21,19,10,16,1,13,5,3,1,3,11,16,4]","[1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0]","[3152.16,-79.1454,1956.01,-359.906,-1173.82,3066.84,-384.115,3190.9,-402.828,-948.029,-1034.33,175.623,1953.79,-483.046,-548.184,-3404.91,-2603.86,-1690.05,-3011.76,-2838.02,2608.94,2377.07,2648.68,-914.822,1079.58,-1249.9,279.806,-1476.88,1206.2,1097.79,2015.25]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(((x3 * x1) * ((x13 + x5) * x10)) - (((x3 + x2) - 1953.7924108667494) - (x7 - (x9 + x4))))",861332,"[861332]",0
Running,11786,1,0.020064099000000002,0.010289346,0.009774753,28378,"[20,21,20,20,20,7,20,9,5,14,17,22,18,1,15,3,2,21,21,19,10,15,1,13,13,3,1,3,2,16,4]","[1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0]","[2264.3,3099.05,2019.82,661.281,560.697,2732.75,1318.15,-3323.2,-1391.97,852.074,40.5277,3337.63,1984.98,2453.48,1940.14,953.33,3415.15,1124.71,-1782.61,1597.79,2533.18,2053.23,-2602.26,2148.54,469.386,-375.22,-3411.23,1553.54,-2810.78,2948.24,-1966.18]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(((x3 * x1) * ((x13 + x13) * x10)) - (((x3/x2) - 1984.9800001971616) - (x7 - (x9 - x5))))",731012,"[731012]",0
Running,18838,1,0.029360036,0.014219347,0.015140689,28378,"[20,21,20,20,20,21,19,9,5,8,8,22,18,1,1,12,2,21,21,19,21,16,1,13,13,3,1,3,2,10,4]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[2264.3,3099.05,2019.82,661.281,560.697,2732.75,1318.15,-3323.2,-1391.97,852.074,40.5277,3337.63,1984.98,2453.48,1940.14,953.33,3415.15,1124.71,-1782.61,1597.79,2533.18,2053.23,-2602.26,2148.54,469.386,-375.22,-3411.23,1553.54,-2810.78,2948.24,-1966.18]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(((x3 * x1) * ((x13 + x13) * (x16 * x1))) - (((x12/x2) - 1984.9800001971616) - ((x8 * x8) - (x9 + x5))))",590031,"[590031]",0
Running,22883,2,0.037451259,0.018130135,0.019321124,28378,"[20,21,20,20,20,21,20,9,5,8,2,22,18,1,1,12,2,21,21,19,21,16,1,13,13,3,1,3,2,10,4]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[2868.54,755.358,-1693.1,2336.81,-1289.26,1554.77,36.461,-2325.28,2701.88,3263.54,2352.81,-3376.9,1836.13,-3006.44,228.961,-410.443,3248.36,2108.82,709.838,-1367.94,-2556.66,1991.96,-1145.84,1909.11,3228.77,1614.93,3236.58,-2330.07,2833.53,670.585,2185.32]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(((x3 * x1) * ((x13 + x13) * (x16 * x1))) - (((x12/x2) - 1836.134671935124) - ((x8 * x2) - (x9 - x5))))",544174,"[544174]",0
Running,37684,2,0.053769994,0.023274287,0.030495707,28378,"[21,21,20,20,21,6,22,4,10,2,8,19,20,10,10,0,6,22,21,19,19,13,7,2,10,19,19,12,9,15,2]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2027.53,-274.009,2515.72,2585.68,3318.24,-460.088,-1734.27,-1786.23,-2961.72,3169.16,3398.3,-792.435,-1031.73,93.0919,-3364.37,225.594,2227.87,-155.461,1410.78,123.501,174.582,520.918,763.39,-813.583,-1710.19,2072.4,3413.33,2832.47,1957.66,2542.32,-2656.27]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x15 + x2)/(x12 + x9)) * ((x2 + x10) * (x13 + x7))) * (((x0 + x6) - (x10 - x10)) - (x6 * (x4/x10))))",467926,"[467926]",0
Running,60747,4,0.08329441600000001,0.032559033,0.050735383,28378,"[20,21,20,20,20,21,20,9,5,8,8,20,18,2,14,8,16,21,21,19,10,2,1,3,6,21,1,15,8,17,14]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1]","[2868.54,755.358,-1693.1,2336.81,-1289.26,1554.77,36.461,-2325.28,2701.88,3263.54,2352.81,-3376.9,1836.13,-3006.44,228.961,-410.443,3248.36,2108.82,709.838,-1367.94,-2556.66,1991.96,-1145.84,1909.11,3228.77,1614.93,3236.58,-2330.07,2833.53,670.585,2185.32]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x17 * x14) * x1) * ((x3 + x6) * x10)) - (((x8 - x16) - 1836.134671935124) - ((x8 * x8) - (x9 - x5))))",438827,"[438827]",0
