status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.109451876,0.000773757,0.108678119,28378,"[18,6,5,19,6,6,6,0,17,12,10,10,8,10,0,4,11,9,11,22,14,10,16,13,2,22,13,17,11,4,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1772.32,5239.71,4299.65,-1940.94,1171.51,-1624.61,4815.37,-4684.66,1238.98,407.38,-5126.49,-281.146,-5049.4,-865.909,-4981.99,-2277.58,4027.36,1199.61,4620.75,289.533,3140.39,5061.58,-175.732,3126.8,-5063.86,3813.08,646.41,-5086.52,-3170.42,5082.42,-2908.5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1772.3160251676518",1.23813e+06,"[1.23813e+06]",0
Running,1054,0,0.243667907,0.003783985,0.239883922,28378,"[18,6,5,19,6,6,6,0,17,12,10,10,8,10,0,4,11,9,11,22,14,10,16,13,2,22,13,17,11,4,0]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1772.32,5239.71,4299.65,-1940.94,1171.51,-1624.61,4815.37,-4684.66,1238.98,407.38,-5126.49,-281.146,-5049.4,-865.909,-4981.99,-2277.58,4027.36,1199.61,4620.75,289.533,3140.39,5061.58,-175.732,3126.8,-5063.86,3813.08,646.41,-5086.52,-3170.42,5082.42,-2908.5]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1772.3160251676518",1.23813e+06,"[1.23813e+06]",0
Running,2232,0,0.513865244,0.00424525,0.509619994,28378,"[20,20,20,19,21,20,20,3,0,10,8,21,20,7,10,7,1,20,20,19,22,13,9,3,18,21,17,9,18,1,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x1 * x5) - x17) - ((x3 + -1811.844519234944) - (x13/x9))) - (((x7 * x1) + (x7 - x10)) - ((x10 - x8) * (x3 - x0))))",1.22939e+06,"[1.22939e+06]",0
Running,4414,0,1.016708117,0.005442792,1.011265325,28378,"[20,20,21,19,21,20,20,3,0,10,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,18,10,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x10 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x10 - x11) * (x3 - x0))))",1.17555e+06,"[1.17555e+06]",0
Running,4581,0,1.053508763,0.005526651,1.047982112,28378,"[20,20,21,19,21,20,20,3,0,10,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,18,10,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x10 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x10 - x11) * (x3 - x0))))",1.17555e+06,"[1.17555e+06]",0
Running,8599,0,2.0426149330000003,0.007996401,2.034618532,28378,"[20,20,21,19,21,20,20,3,0,10,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,18,10,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x10 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x10 - x11) * (x3 - x0))))",1.17555e+06,"[1.17555e+06]",0
Running,9303,0,2.1999209630000003,0.008427418,2.191493545,28378,"[20,20,21,19,21,20,20,3,0,10,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,18,10,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x10 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x10 - x11) * (x3 - x0))))",1.17555e+06,"[1.17555e+06]",0
Running,10445,1,2.951325186,0.010760805,2.940564381,28378,"[20,20,21,19,21,20,20,3,0,8,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,18,10,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x10 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x8 - x11) * (x3 - x0))))",1.17327e+06,"[1.17327e+06]",0
Running,15323,1,4.0902754649999995,0.014252256,4.076023209,28378,"[20,20,21,19,21,20,20,3,0,10,11,21,20,7,10,7,1,21,20,19,22,13,16,3,18,21,17,9,7,15,5]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[4597.03,2381.13,4958.88,923.359,-6.59846,-3430.24,-2254.8,1623.55,-5784.26,1098.18,4886.46,3497.32,-3748.75,-5679.89,-5310.94,-3499.07,4957.56,-4319.69,996.023,-3039.77,775.949,4609.17,-1187.84,334.326,-1811.84,976.857,-2243.71,-4224.84,-2395.58,1345.59,2868.06]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x15 * x5) * x17) - ((x3 + -1811.844519234944) - (x13/x16))) - (((x7 * x1) + (x7 - x10)) * ((x10 - x11) * (x3 - x0))))",1.10418e+06,"[1.10418e+06]",0
Running,18610,1,4.957482079999999,0.01699193,4.94049015,28378,"[20,20,20,13,21,17,13,3,15,17,7,3,20,2,10,3,4,20,19,21,20,13,0,3,0,21,7,2,15,10,18]","[1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[467.131,1690.76,1622.18,2319.22,-1962.63,-4759.43,467.89,-802.991,2598.11,4911.72,-5407.95,3720.98,-3895.98,551.63,-1605.46,649.586,-1374.82,4580.07,-1346.5,-1307.39,-4708.57,5563.96,1470.89,5108.94,5853.66,4896.65,-3131.39,-3571.84,212.859,2575.26,557.257]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","((((x10 * 557.2572869344049) - x7) - ((x3 * x0) + (x13 - x0))) - (x13 - (x17 * x13)))",1.06768e+06,"[1.06768e+06]",0
