status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.004661696,0.001248146,0.00341355,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,1068,0,0.018901169,0.003963043,0.014938126,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,2284,0,0.052825906,0.004500762,0.048325144,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,4601,0,0.127228231,0.005745,0.121483231,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,9261,0,0.29620401300000004,0.008265165,0.287938848,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,16378,1,0.8289929730000001,0.013766904,0.815226069,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,18562,1,0.931136639,0.015741434,0.915395205,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,20050,1,1.001669017,0.017139885,0.984529132,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,26666,2,1.393412696,0.02399701,1.369415686,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
Running,35997,4,2.0074115359999998,0.037561739,1.969849797,42897,"[15,9,11,8,16,5,15,5,1,7,11,0,15,0,4,13,5,2,18,0,12,7,10,12,6,0,3,6,7,9,11]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-13.4955,-5.84049,23.831,-10.7832,0.717099,-7.00003,40.7947,-27.7803,-18.5025,5.91237,-24.7752,1.78079,28.1802,-18.1838,-5.85919,30.7724,-2.56433,-17.2806,23.9189,7.50944,14.3505,-1.72492,11.0734,-17.3887,-25.608,-40.1078,32.1422,-6.70685,-25.1693,32.9313,12.3462]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x9 + x11)",0,"[0]",0
