status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.006741699,0.000752376,0.005989323,42897,"[17,16,16,19,16,16,16,4,3,10,15,19,18,14,9,15,11,16,17,19,16,1,2,10,5,19,19,7,9,5,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x1) + (x7/x9)) + ((x10/x5) - (x1 + x2))) - (((-757.987377755222/x11)/(x14 * x9)) + ((x10 + -848.3707396529851) + (x4 + x3))))",21932.4,"[21932.4]",0
Running,1257,0,0.027818783,0.003691277,0.024127506,42897,"[17,16,16,19,16,16,16,4,3,10,15,19,18,14,9,15,11,16,17,19,14,1,2,10,5,19,19,7,9,5,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x1) + (x7/x9)) + ((x10/x5) - x14)) - (((-757.987377755222/x11)/(x14 * x9)) + ((x10 + -848.3707396529851) + (x4 + x3))))",10580.3,"[10580.3]",0
Running,2625,0,0.06827494,0.004307526,0.063967414,42897,"[17,16,16,19,16,16,16,4,3,9,15,19,18,14,9,15,9,16,18,19,14,1,2,10,5,19,19,7,9,5,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x1) + (x7/x9)) + ((x10/x5) * x14)) - (((-757.987377755222/x9)/(x14 * x9)) + ((x9 + -848.3707396529851) + (x4 + x3))))",2506.45,"[2506.45]",0
Running,5387,0,0.169144304,0.006169868,0.162974436,42897,"[17,16,16,19,16,16,16,4,3,9,15,19,18,14,9,15,6,16,18,19,14,1,2,10,5,19,19,7,9,5,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x1) + (x7/x9)) + ((x10/x5) * x14)) - (((-757.987377755222/x6)/(x14 * x9)) + ((x9 + -848.3707396529851) + (x4 + x3))))",2506.36,"[2506.36]",0
Running,10898,0,0.391273483,0.009699739,0.381573744,42897,"[17,16,16,19,16,16,16,10,3,9,15,1,18,6,9,8,6,16,18,19,14,15,2,10,5,19,19,7,9,5,2]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x2) + (x7/x9)) + ((x10/x5) * x14)) - ((x1/(x6 * x9)) + ((x9 + -848.3707396529851) + (x10 + x3))))",2380.9,"[2380.9]",0
Running,11848,1,0.81015985,0.013226833,0.796933017,42897,"[17,16,16,19,16,16,16,10,3,9,15,1,18,0,9,8,6,16,18,19,14,15,2,10,5,19,19,7,9,5,2]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x2) + (x7/x9)) + ((x10/x5) * x14)) - ((x1/(x0 * x9)) + ((x9 + -848.3707396529851) + (x10 + x3))))",2380.54,"[2380.54]",0
Running,18638,1,1.004717354,0.016867043,0.987850311,42897,"[17,16,16,19,16,16,16,10,3,9,15,1,18,6,2,5,0,16,18,19,14,15,12,8,5,19,19,7,9,5,2]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[23.1385,207.296,801.071,-409.917,-954.013,-979.726,1010.17,-53.1611,-250.563,503.156,-848.371,717.799,659.982,625.509,-1047.55,-757.987,977.206,-858.938,268.96,744.813,-651.447,-430.433,-519.088,376.466,-848.737,161.728,-887.626,258.749,863.249,948.698,268.929]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5/x2) + (x7/x9)) + ((x8/x5) * x14)) - ((x1/(x6 * x2)) + ((x9 + -848.3707396529851) + (x10 + x3))))",2139.56,"[2139.56]",0
Running,21995,1,1.103199121,0.018497205,1.084701916,42897,"[17,16,17,19,19,3,2,2,0,15,15,9,10,9,12,8,3,16,16,17,16,8,8,15,1,8,10,13,2,5,13]","[1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[1042.52,431.878,-149.912,-68.3943,1039.99,-38.994,-182.612,480.094,-995.41,-271.532,-330.51,148.257,1001.31,-965.912,771.918,-628.656,698.955,-16.855,-265.663,175.195,462.118,-5.13772,-609.383,929.274,-1021.55,754.201,291.186,-99.1718,-253.918,993.117,119.499]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]","(((x8 + x10) + ((929.2742859629386 - x1) + (x8 + x8))) - ((x9/x10) - (x3/x2)))",1893.64,"[1893.64]",0
Running,26729,2,1.642724818,0.022911057,1.619813761,42897,"[17,16,17,19,19,3,19,2,0,15,15,9,10,9,12,8,3,16,16,17,16,8,8,15,1,8,10,13,2,5,13]","[1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[1042.52,431.878,-149.912,-68.3943,1039.99,-38.994,-182.612,480.094,-995.41,-271.532,-330.51,148.257,1001.31,-965.912,771.918,-628.656,698.955,-16.855,-265.663,175.195,462.118,-5.13772,-609.383,929.274,-1021.55,754.201,291.186,-99.1718,-253.918,993.117,119.499]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]","(((x8 + x10) + ((929.2742859629386 - x1) + (x8 + x8))) - ((x9/x10) - (x3/(x2/x0))))",1865.85,"[1865.85]",0
Running,44299,2,1.8488837409999999,0.030256755,1.818626986,42897,"[16,19,16,17,16,13,16,8,15,7,4,19,4,14,12,8,7,18,2,7,8,1,2,10,1,16,17,0,6,5,13]","[1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[258.304,73.8209,159.782,-485.352,61.222,659.464,758.902,878.867,919.348,-990.353,-150.631,-725.861,-15.5478,-960.759,791.93,-980.098,262.901,38.4572,113.512,-903.274,-594.251,-141.237,940.066,-976.047,-888.65,-23.629,-599.629,1046.21,-154.774,-79.1012,-246.831]","[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","((((x5 + x13) * (x0 - x6))/x2) + (((x8/x7) - x4) + (x13 + (x8 + 919.3481121975747))))",1431.12,"[1431.12]",0
