status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.0014757160000000002,0.000733049,0.000742667,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,1100,0,0.003853233,0.002146378,0.001706855,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,2242,0,0.005992608,0.00251187,0.003480738,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,4771,0,0.010892235,0.003327864,0.007564371,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,9618,0,0.019978015000000002,0.004889702,0.015088313,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,17687,1,0.036310206,0.008299789,0.028010417,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,19354,1,0.039723605,0.008884016,0.030839589,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,33960,2,0.068920513,0.014804225,0.054116288,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,38715,2,0.077880716,0.016421299,0.061459417,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
Running,67166,4,0.135394078,0.027842897,0.107551181,42897,"[3,5,4,4,1,3,0,1,0,1,1,3,2,1,0,0,0,2,1,4,4,0,1,1,1,5,3,1,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1]","[0.0153301,-0.202522,-0.142444,-0.13349,0.102302,-0.0748274,0.207446,0.00848612,0.012701,-0.121662,-0.208061,-0.191109,0.0711144,0.082135,0.0303973,-0.168595,0.161197,0.0464124,-0.121597,0.236907,0.142286,0.1676,-0.138939,-0.198891,-0.236688,-0.0856671,-0.0143884,-0.065464,-0.138922,0.0118592,0.0553304]","[0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1]","((((0.011859155605807858/0.05533043120507947) + (-0.06546395122569584 - x0))/-0.12159673360461991) - (((x0 - x0) * (0.08213501523272315 + x0)) * 0.1023019952074612))",0,"[0]",0
