status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.002609316,0.000724093,0.001885223,42897,"[5,1,0,1,1,2,0,0,1,1,0,0,3,1,0,1,0,0,5,4,0,0,0,0,0,3,1,1,1,1,0]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-0.230665,0.158603,-0.0275394,0.148244,-0.221437,0.0833301,-0.177784,-0.0228536,-0.0963951,-0.0782109,0.119982,0.221416,-0.106668,0.2387,0.0869495,-0.137113,0.098628,-0.23759,-0.239289,0.0612764,0.128014,0.121089,-0.145545,-0.101144,-0.0427043,-0.234819,0.0416339,0.239916,-0.227427,-0.148328,0.104668]","[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(0.15860267003560302/x0)",0.00182836,"[0.00182836]",0
Running,1096,0,0.006424989,0.002144605,0.004280384,42897,"[4,5,4,5,3,3,5,1,0,0,1,2,3,1,0,0,1,5,2,4,2,0,1,0,0,5,4,1,0,1,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.18017,0.055671,0.0691928,-0.164152,-0.223176,0.146185,-0.191961,-0.141084,0.135398,-0.0769954,0.12678,0.155105,0.085769,0.10248,0.177136,-0.141908,-0.00922101,0.216365,0.21256,0.0615604,-0.0187623,0.160828,0.109496,-0.129652,0.0658677,-0.213168,0.111373,0.206496,-0.0166427,-0.133677,-0.224041]","[0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0]","((((-0.13367743916972777/x0)/(0.2064964197135044 * x0))/((x0 * x0) + (x0 + 0.10949564982175508))) * (((x0 + -0.009221008431739536)/(0.10248028074431192 - x0)) * ((x0 - 0.1267798728115932) - (-0.14108446535540375/x0))))",0.0004093,"[0.0004093]",0
Running,2228,0,0.011620267,0.002489769,0.009130498,42897,"[4,5,4,5,3,3,5,1,0,0,1,2,3,1,0,0,1,5,2,4,2,0,1,0,0,5,4,1,0,1,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.18017,0.055671,0.0691928,-0.164152,-0.223176,0.146185,-0.191961,-0.141084,0.135398,-0.0769954,0.12678,0.155105,0.085769,0.10248,0.177136,-0.141908,-0.00922101,0.216365,0.21256,0.0615604,-0.0187623,0.160828,0.109496,-0.129652,0.0658677,-0.213168,0.111373,0.206496,-0.0166427,-0.133677,-0.224041]","[0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0]","((((-0.13367743916972777/x0)/(0.2064964197135044 * x0))/((x0 * x0) + (x0 + 0.10949564982175508))) * (((x0 + -0.009221008431739536)/(0.10248028074431192 - x0)) * ((x0 - 0.1267798728115932) - (-0.14108446535540375/x0))))",0.0004093,"[0.0004093]",0
Running,4705,0,0.022810781000000002,0.003240413,0.019570368,42897,"[5,5,2,0,1,4,3,0,0,0,1,3,4,1,1,1,1,0,4,5,2,1,0,0,1,5,3,1,1,1,0]","[1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0]","[-0.114937,-0.059562,0.157898,-0.23972,0.027742,-0.157094,-0.218782,0.0205753,-0.155796,0.101919,-0.12557,0.100326,0.0636563,-0.0415515,-0.144774,0.0542404,-0.223577,-0.122826,-0.00670141,0.231985,0.0212313,-0.238065,-0.146269,0.0446151,0.228291,-0.160351,-0.0833368,-0.222481,-0.179784,0.0558725,0.149565]","[0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0]","((x0/((x0/0.22829112026545056) * (-0.2380653932936807 + x0)))/(x0 + 0.02774204210418485))",0.000298896,"[0.000298896]",0
Running,9615,0,0.044431562,0.004725425,0.039706137,42897,"[5,2,2,3,3,2,3,0,0,0,0,1,3,1,0,0,1,5,2,5,5,1,0,1,0,5,3,1,1,1,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.179276,-0.0197609,0.131983,-0.0372083,-0.0260637,0.195907,0.0488465,-0.0867944,0.0172263,0.0499825,0.0729685,-0.0116068,-0.183749,0.188203,-0.0530264,-0.150817,-0.0673366,0.059144,-0.133975,0.131749,-0.213942,-0.138716,-0.140399,-0.0893591,0.202781,0.011546,0.168096,-0.130396,0.110379,-0.233217,-0.0804808]","[0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0]","((((-0.2332172590726093/x0)/(-0.1303957224730194 - 0.1103790296217056)) + ((-0.0893591424822838/x0) + (-0.1387159633726787/x0)))/((-0.011606804771387397 - (0.18820345719965925 - x0)) + ((x0 + x0) - (x0 - x0))))",0.000296012,"[0.000296012]",0
Running,17221,1,0.087163533,0.007920457,0.079243076,42897,"[4,2,2,1,3,1,5,1,0,1,1,1,4,1,1,1,1,5,5,5,0,0,0,1,1,5,5,0,0,1,1]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[0.117871,-0.166073,0.1747,-0.191144,0.0876079,0.142036,-0.193764,-0.156202,0.0206011,0.144349,-0.00111801,-0.100393,-0.100301,-0.131851,0.01774,0.202941,-0.236646,0.18416,0.240896,-0.0670432,0.0626125,0.0733529,0.0282114,-0.0355158,-0.151805,-0.0625275,0.185203,0.0681995,0.183551,-0.23356,-0.111301]","[0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1]","((((-0.23356008769658598/-0.11130103830305565)/(x0/x0)) + ((-0.03551576938717094/-0.15180514918659005)/x0)) * (-0.1911443127504032 + (0.14203587092286768 - (-0.15620203959091697/x0))))",7.55309e-05,"[7.55309e-05]",0
Running,19243,1,0.097576835,0.00862271,0.088954125,42897,"[4,2,2,1,3,1,5,1,0,1,1,1,4,1,1,1,1,5,5,5,0,0,0,1,1,5,5,0,0,1,1]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1]","[0.117871,-0.166073,0.1747,-0.191144,0.0876079,0.142036,-0.193764,-0.156202,0.0206011,0.144349,-0.00111801,-0.100393,-0.100301,-0.131851,0.01774,0.202941,-0.236646,0.18416,0.240896,-0.0670432,0.0626125,0.0733529,0.0282114,-0.0355158,-0.151805,-0.0625275,0.185203,0.0681995,0.183551,-0.23356,-0.111301]","[0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1]","((((-0.23356008769658598/-0.11130103830305565)/(x0/x0)) + ((-0.03551576938717094/-0.15180514918659005)/x0)) * (-0.1911443127504032 + (0.14203587092286768 - (-0.15620203959091697/x0))))",7.55309e-05,"[7.55309e-05]",0
Running,37568,2,0.18490508,0.015190195,0.169714885,42897,"[4,2,2,1,3,1,5,1,0,1,0,2,5,1,0,1,1,4,5,5,5,0,0,1,1,5,5,0,0,1,1]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.180046,0.151411,0.009754,-0.199118,-0.0559091,0.132001,0.00407806,-0.188185,-0.212049,0.191442,0.0697648,0.194697,0.17842,0.184879,-0.0621633,-0.22476,0.238849,0.16332,-0.220397,-0.15582,-0.0492985,-0.217864,-0.226529,0.219201,0.207094,-0.0470094,0.156487,0.115129,0.0409513,0.22432,0.197382]","[0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1]","((((0.22431992529671102/0.1973818527079182) * (x0/x0)) + ((0.21920121402107196/0.20709363564517924)/(x0/x0))) * (-0.19911837063187762 + (0.13200122963285038 - (-0.18818454591669825/x0))))",3.79707e-05,"[3.79707e-05]",0
Running,38489,2,0.188750942,0.015495685,0.173255257,42897,"[4,2,2,1,3,1,5,1,0,1,0,2,5,1,0,1,1,4,5,5,5,0,0,1,1,5,5,0,0,1,1]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.180046,0.151411,0.009754,-0.199118,-0.0559091,0.132001,0.00407806,-0.188185,-0.212049,0.191442,0.0697648,0.194697,0.17842,0.184879,-0.0621633,-0.22476,0.238849,0.16332,-0.220397,-0.15582,-0.0492985,-0.217864,-0.226529,0.219201,0.207094,-0.0470094,0.156487,0.115129,0.0409513,0.22432,0.197382]","[0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1]","((((0.22431992529671102/0.1973818527079182) * (x0/x0)) + ((0.21920121402107196/0.20709363564517924)/(x0/x0))) * (-0.19911837063187762 + (0.13200122963285038 - (-0.18818454591669825/x0))))",3.79707e-05,"[3.79707e-05]",0
Running,77038,3,0.358049047,0.027126552,0.330922495,42897,"[4,2,2,1,3,1,5,1,0,1,0,2,5,1,0,1,1,4,2,3,5,0,0,1,1,5,5,0,0,1,1]","[1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.180046,0.151411,0.009754,-0.199118,-0.0559091,0.132001,0.00407806,-0.188185,-0.212049,0.191442,0.0697648,0.194697,0.17842,0.184879,-0.0621633,-0.22476,0.238849,0.16332,-0.220397,-0.15582,-0.0492985,-0.217864,-0.226529,0.219201,0.207094,-0.0470094,0.156487,0.115129,0.0409513,0.22432,0.197382]","[0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1]","((((0.22431992529671102/0.1973818527079182) * (x0/x0)) + ((0.21920121402107196 - 0.20709363564517924) + (x0/x0))) * (-0.19911837063187762 + (0.13200122963285038 - (-0.18818454591669825/x0))))",2.94103e-05,"[2.94103e-05]",0
