status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.001193722,0.000725004,0.000468718,42897,"[5,2,3,2,3,4,2,1,1,0,0,2,3,0,0,1,0,4,5,3,2,1,1,0,1,4,2,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[6677.32,8422.53,5244.82,-5359.19,7233.72,8957.53,-1525.35,2210.16,-10227.1,8288.09,-4413.6,-3151.19,688.91,-2400.8,-2483.06,-4220.48,6320.21,-8626.88,-3070.47,1669.46,-9372.32,-8541.67,-5212.72,-10637.7,-2004.06,3767.08,4023.16,8491.92,-3305.25,-9772.72,-2068.56]","[0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1]","((((x0 * -2068.5620545321344) * (8491.920974000466 + -3305.2490113470476)) + ((x0 - -2004.0595600929355)/(-8541.674937334783 + -5212.718069912607)))/(((-4220.483523027661 + x0) + (x0 - x0)) - ((x0 * x0) - (2210.1620471517945 + -10227.05431477124))))",1.71556e+06,"[1.71556e+06]",0
Running,1099,0,0.003150241,0.002156547,0.000993694,42897,"[5,2,3,2,3,4,2,1,1,0,0,2,3,0,0,1,0,4,2,3,2,1,1,0,1,4,2,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[6677.32,8422.53,5244.82,-5359.19,7233.72,8957.53,-1525.35,2210.16,-10227.1,8288.09,-4413.6,-3151.19,688.91,-2400.8,-2483.06,-4220.48,6320.21,-8626.88,-3070.47,1669.46,-9372.32,-8541.67,-5212.72,-10637.7,-2004.06,3767.08,4023.16,8491.92,-3305.25,-9772.72,-2068.56]","[0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1]","((((x0 * -2068.5620545321344) * (8491.920974000466 + -3305.2490113470476)) + ((x0 - -2004.0595600929355) + (-8541.674937334783 + -5212.718069912607)))/(((-4220.483523027661 + x0) + (x0 - x0)) - ((x0 * x0) - (2210.1620471517945 + -10227.05431477124))))",1.71505e+06,"[1.71505e+06]",0
Running,2222,0,0.004513273,0.002502112,0.002011161,42897,"[4,2,5,4,2,2,3,1,1,1,1,5,4,0,1,0,0,3,4,2,5,1,0,0,0,4,2,0,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-3105.99,9609.91,840.848,6786.28,-9162.97,-987.838,7825.99,5983.62,-5875.91,550.02,6577.3,-4093.41,9794.85,-4038.91,8212.5,2932.61,-545.981,8408.82,8154.93,-9138.17,-6572.36,-440.257,-9003.41,-2288.92,1521.91,9700.85,4242.44,5505.39,422.974,7927.18,352.184]","[0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1]","((((x0 * 352.1836109523192) - (x0 + x0)) + ((x0 + x0) * (-440.2568471632894/x0))) * (((x0/x0) * (x0 * 8212.502567827101))/((550.0198215668479 + 6577.3039390158665) + (5983.620928646989 - -5875.906500192487))))",1.6436e+06,"[1.6436e+06]",0
Running,4573,0,0.007527746,0.003266621,0.004261125,42897,"[5,4,3,3,4,0,3,1,1,0,1,2,3,1,1,0,0,2,4,2,2,0,1,0,0,4,3,0,0,1,0]","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[6961.33,9222.02,-6787.1,-5128.71,2816.23,-8919.63,-5162.19,-1083.46,-7092.19,-6360.14,10583.5,-1609.05,-3288.84,976.319,-10179.5,-8497.03,-1080.34,9873.82,-9584.2,-5313.44,-7846.1,-3942.26,-5498.11,-2723.12,2433.59,-4533.36,-599.111,-7150.49,-9562.22,657.413,2396.43]","[0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0]","((((657.4133975436544 * x0) + (x0 - x0)) * ((x0 + x0) * (x0 + -5498.105124112939)))/(((x0 + x0) - (976.3194508589604 - -10179.507204725718)) - (x0 * (-1083.4592016400638 - -7092.194592147753))))",384759,"[384759]",0
Running,9275,0,0.013378265,0.004822992,0.008555273,42897,"[4,5,3,4,2,3,2,0,1,1,0,4,4,0,0,0,0,1,5,3,0,1,0,1,1,4,5,1,0,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0]","[8855.78,7125.3,-3699.84,2080.38,-5009.53,-1237.99,2358.82,9010.61,-8259.78,-3008.82,1754.52,-9188.4,1612.15,-4281.65,-1417.45,-5964.62,-2633.02,275.528,8318.53,-2820.78,-7995.04,6878.83,-3315.77,5864.26,1367.24,2040.82,7061.19,-5056.22,3804.35,6427.28,4328.77]","[0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0]","((275.5278506276536/((5864.25737362857 - 1367.2407455585744)/x0)) * (((x0 * x0) * (x0 * x0)) - ((-3008.8242578451545 - x0) + (x0 + -8259.77556575937))))",206738,"[206738]",0
Running,16055,1,0.02427909,0.00793298,0.01634611,42897,"[4,5,3,4,2,2,2,0,1,1,0,4,4,0,0,0,0,1,5,3,0,1,1,1,1,4,5,1,0,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0]","[8855.78,7125.3,-3699.84,2080.38,-5009.53,-1237.99,2358.82,9010.61,-8259.78,-3008.82,1754.52,-9188.4,1612.15,-4281.65,-1417.45,-5964.62,-2633.02,275.528,8318.53,-2820.78,-7995.04,6878.83,-3315.77,5864.26,1367.24,2040.82,7061.19,-5056.22,3804.35,6427.28,4328.77]","[0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0]","((275.5278506276536/((5864.25737362857 - 1367.2407455585744)/x0)) * (((x0 * x0) * (x0 * x0)) - ((-3008.8242578451545 + x0) + (x0 + -8259.77556575937))))",204371,"[204371]",0
Running,18587,1,0.027653884999999996,0.008749446,0.018904439,42897,"[4,5,3,4,2,2,2,0,1,1,0,4,4,0,0,0,0,1,5,3,0,1,1,1,1,4,5,1,0,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0]","[8855.78,7125.3,-3699.84,2080.38,-5009.53,-1237.99,2358.82,9010.61,-8259.78,-3008.82,1754.52,-9188.4,1612.15,-4281.65,-1417.45,-5964.62,-2633.02,275.528,8318.53,-2820.78,-7995.04,6878.83,-3315.77,5864.26,1367.24,2040.82,7061.19,-5056.22,3804.35,6427.28,4328.77]","[0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0]","((275.5278506276536/((5864.25737362857 - 1367.2407455585744)/x0)) * (((x0 * x0) * (x0 * x0)) - ((-3008.8242578451545 + x0) + (x0 + -8259.77556575937))))",204371,"[204371]",0
Running,33894,2,0.048965435,0.014492385,0.03447305,42897,"[4,2,5,3,2,2,3,1,1,1,1,2,4,1,0,0,0,4,3,2,3,1,0,0,1,4,5,0,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-3105.99,9609.91,840.848,6786.28,-9162.97,-987.838,7825.99,5983.62,-5875.91,550.02,6577.3,-4093.41,9794.85,-4038.91,8212.5,2932.61,-545.981,8408.82,8154.93,-9138.17,-6572.36,-440.257,-9003.41,-2288.92,1521.91,9700.85,4242.44,5505.39,422.974,7927.18,352.184]","[0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1]","((((x0 * 352.1836109523192) * (x0/x0)) + ((x0 + 1521.9115847026478) - (-440.2568471632894 - x0))) * (((x0 + x0) - (-4038.9095431388396 * x0))/((550.0198215668479 + 6577.3039390158665) + (5983.620928646989 - -5875.906500192487))))",11946.6,"[11946.6]",0
Running,37365,2,0.053097451,0.015445422,0.037652029,42897,"[4,2,5,3,2,2,3,1,1,1,1,2,4,1,0,0,0,4,3,2,3,1,0,0,1,4,5,0,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-3105.99,9609.91,840.848,6786.28,-9162.97,-987.838,7825.99,5983.62,-5875.91,550.02,6577.3,-4093.41,9794.85,-4038.91,8212.5,2932.61,-545.981,8408.82,8154.93,-9138.17,-6572.36,-440.257,-9003.41,-2288.92,1521.91,9700.85,4242.44,5505.39,422.974,7927.18,352.184]","[0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1]","((((x0 * 352.1836109523192) * (x0/x0)) + ((x0 + 1521.9115847026478) - (-440.2568471632894 - x0))) * (((x0 + x0) - (-4038.9095431388396 * x0))/((550.0198215668479 + 6577.3039390158665) + (5983.620928646989 - -5875.906500192487))))",11946.6,"[11946.6]",0
Running,74748,3,0.101911631,0.026869683,0.075041948,42897,"[4,2,5,3,2,2,3,1,1,1,1,2,4,1,0,0,0,2,3,2,3,1,0,0,1,4,5,0,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-3105.99,9609.91,840.848,6786.28,-9162.97,-987.838,7825.99,5983.62,-5875.91,550.02,6577.3,-4093.41,9794.85,-4038.91,8212.5,2932.61,-545.981,8408.82,8154.93,-9138.17,-6572.36,-440.257,-9003.41,-2288.92,1521.91,9700.85,4242.44,5505.39,422.974,7927.18,352.184]","[0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1]","((((x0 * 352.1836109523192) + (x0/x0)) + ((x0 + 1521.9115847026478) - (-440.2568471632894 - x0))) * (((x0 + x0) - (-4038.9095431388396 * x0))/((550.0198215668479 + 6577.3039390158665) + (5983.620928646989 - -5875.906500192487))))",11943.7,"[11943.7]",0
