status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,32,0,0.000261514,0.000100855,0.000160659,28378,"[3,1,0,2,0,1,0,0,1,0,1,0,3,1,1,0,0,3,0,2,4,1,0,0,1,3,4,0,0,0,1]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-2034.99,4926.5,9647.95,-989.901,-1143.43,8772.74,8634.72,-8894.57,-9470.07,4784.08,1209.81,3752.84,8719.92,-7432.84,-9223.8,-2585.59,-2030.98,-8811.17,-4941.83,9652.63,-10563.4,2310.08,-533.178,-392.907,8807.45,-258.847,4722.32,1423.69,-6368.52,-9999.98,-602.867]","[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(4926.50242783324 - x0)",1.83087e+07,"[1.83087e+07]",0
Running,83,0,0.000983233,0.000519993,0.00046324,28378,"[3,1,0,2,0,1,0,0,1,0,1,0,3,1,1,0,0,3,0,2,4,1,0,0,1,3,4,0,0,0,1]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-2034.99,4926.5,9647.95,-989.901,-1143.43,8772.74,8634.72,-8894.57,-9470.07,4784.08,1209.81,3752.84,8719.92,-7432.84,-9223.8,-2585.59,-2030.98,-8811.17,-4941.83,9652.63,-10563.4,2310.08,-533.178,-392.907,8807.45,-258.847,4722.32,1423.69,-6368.52,-9999.98,-602.867]","[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(4926.50242783324 - x0)",1.83087e+07,"[1.83087e+07]",0
Running,169,0,0.001461185,0.000574519,0.000886666,28378,"[4,1,0,5,3,0,5,1,0,0,1,0,1,1,0,1,1,0,3,1,3,1,0,0,1,4,1,0,0,0,1]","[1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[4449.77,438.098,-8021.02,-3784.15,5690.95,-5925.4,-933.545,-427.073,-5736.54,7372.11,1522.2,1749.47,-10733.2,-2912.53,3350.34,8511.78,-8870.42,-9908.97,10339.5,-8631.57,-8045.64,-6469.72,667.409,-119.801,6882.66,8907.84,3260.26,8676.86,-8885.55,-8633.89,10527.2]","[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(438.09839017460763 * x0)",1.19232e+07,"[1.19232e+07]",0
Running,350,0,0.002537146,0.000686413,0.001850733,28378,"[2,1,5,2,2,4,2,0,0,0,0,0,2,1,1,1,1,3,5,2,3,0,0,0,1,3,4,1,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[-2034.99,4926.5,9647.95,-989.901,-1143.43,8772.74,8634.72,-8894.57,-9470.07,4784.08,1209.81,3752.84,8719.92,-7432.84,-9223.8,-2585.59,-2030.98,-8811.17,-4941.83,9652.63,-10563.4,2310.08,-533.178,-392.907,8807.45,-258.847,4722.32,1423.69,-6368.52,-9999.98,-602.867]","[0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(4926.50242783324 + ((x0 + (-7432.842488303323 + -9223.801356686885))/((x0 * x0) + (x0 + x0))))",9.52927e+06,"[9.52927e+06]",0
Running,711,0,0.004874968,0.00094126,0.003933708,28378,"[2,5,3,3,3,3,5,1,0,0,1,5,4,0,1,0,0,3,2,4,5,0,0,0,1,4,3,0,0,1,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-4033.39,-5784.83,1077.21,2414.82,-4701.71,164.606,824.361,-6546.97,9259.37,9763.55,3950.42,6283.55,-8495.7,7184.94,-710.025,-5845.95,2724.7,-953.079,144.277,-6880.62,10128.4,-7447.49,-3353.35,-4179.97,4048.15,9224.85,1664.4,9115.32,781.166,-3440.83,-2094.94]","[0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0]","((((-3440.8291640551524 * x0) - (x0 - x0))/((x0 * 4048.1501864058864) + (x0/x0))) + (((x0/x0) - (x0 * -710.0253506703957)) - ((x0 - 3950.4219427634252) - (-6546.966682233372/x0))))",2.45775e+06,"[2.45775e+06]",0
Running,853,1,0.00637033,0.00126553,0.0051048,28378,"[2,5,3,3,3,3,5,1,0,0,1,5,4,0,1,0,0,3,2,4,5,0,0,0,1,4,3,0,0,0,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-4033.39,-5784.83,1077.21,2414.82,-4701.71,164.606,824.361,-6546.97,9259.37,9763.55,3950.42,6283.55,-8495.7,7184.94,-710.025,-5845.95,2724.7,-953.079,144.277,-6880.62,10128.4,-7447.49,-3353.35,-4179.97,4048.15,9224.85,1664.4,9115.32,781.166,-3440.83,-2094.94]","[0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","((((x0 * x0) - (x0 - x0))/((x0 * 4048.1501864058864) + (x0/x0))) + (((x0/x0) - (x0 * -710.0253506703957)) - ((x0 - 3950.4219427634252) - (-6546.966682233372/x0))))",2.45736e+06,"[2.45736e+06]",0
Running,1432,1,0.009882092,0.001639569,0.008242523,28378,"[2,5,3,3,3,3,5,1,0,0,1,5,4,0,1,0,0,3,2,5,5,1,0,0,0,4,2,0,0,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-4033.39,-5784.83,1077.21,2414.82,-4701.71,164.606,824.361,-6546.97,9259.37,9763.55,3950.42,6283.55,-8495.7,7184.94,-710.025,-5845.95,2724.7,-953.079,144.277,-6880.62,10128.4,-7447.49,-3353.35,-4179.97,4048.15,9224.85,1664.4,9115.32,781.166,-3440.83,-2094.94]","[0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1]","((((x0 * -2094.936588663557) - (x0 + x0))/((x0/x0) + (-7447.491902257419/x0))) + (((x0/x0) - (x0 * -710.0253506703957)) - ((x0 - 3950.4219427634252) - (-6546.966682233372/x0))))",2.45543e+06,"[2.45543e+06]",0
Running,1717,2,0.013533125,0.002054299,0.011478826,28378,"[2,0,5,4,1,4,0,1,1,1,1,2,4,0,1,0,1,5,4,1,4,0,0,0,0,3,3,0,0,0,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[10034.8,-1914.61,-3375.8,8655.04,5365.11,-714.194,-6740.33,2293.8,-1487.97,4373.6,9011.98,-575.572,-10641.8,-2452.46,796.863,3176.74,8352.29,-3863.73,2106.76,6017.6,-4762.06,-1797,-259.518,-4407.38,4044.84,-731.138,6774.56,-3994.57,-357.882,-6653.29,4969.94]","[0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","(x0 + (((x0 + 8352.288460772324) * (x0 * 796.8633367093789))/5365.11183545194))",1.96838e+06,"[1.96838e+06]",0
Running,2872,2,0.021054712,0.002729214,0.018325498,28378,"[3,2,3,2,5,5,0,1,0,0,1,0,4,0,1,0,0,3,5,2,4,1,0,0,0,2,3,0,0,1,1]","[1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[9684.36,-6359.21,-1163.7,-6964.92,-5183,7972.07,-9439.8,-66.9846,-631.455,6255.45,-1289.45,10014.3,111.782,6533.21,-959.948,-6319.34,5958.31,9801.66,2301.8,3060.68,6930.81,9552.59,-3992.28,5231.73,6299.61,1174.36,6793.63,7850.22,-4639.52,6981.83,-7784.86]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1]","((((6981.833270811458 + -7784.860538668443) - (x0 - x0)) + ((x0 + x0)/(9552.591500325812 * x0))) - ((x0 + (x0 * -959.9478889337206)) - ((x0/-1289.4517249385299)/x0)))",1.50833e+06,"[1.50833e+06]",0
Running,3871,4,0.029902216,0.003590282,0.026311934,28378,"[2,2,5,4,1,5,0,1,0,0,1,2,4,0,1,0,1,3,4,2,4,0,0,0,0,2,3,0,0,1,1]","[1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[9684.36,-6359.21,-1163.7,-6964.92,-5183,7972.07,-9439.8,-66.9846,-631.455,6255.45,-1289.45,10014.3,111.782,6533.21,-959.948,-6319.34,5958.31,9801.66,2301.8,3060.68,6930.81,9552.59,-3992.28,5231.73,6299.61,1174.36,6793.63,7850.22,-4639.52,6981.83,-7784.86]","[0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","((((6981.833270811458 + -7784.860538668443) - (x0 - x0)) + ((x0 + x0) * (x0 * x0))) + (((x0 + 5958.310410527272) * (x0 * -959.9478889337206))/-5182.995632042133))",320522,"[320522]",0
